layer,method,physical_pages,n,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90
0,per_expert_separate_rank512_int8,768,7,0.9999423525666705,0.9999539828060676,0.9999651956272261
0,per_expert_separate_rank512_int8,1024,7,0.9999423220020691,0.9999540046826768,0.9999651945564259
0,refinement_router_full_int2,64,7,0.22436465310133233,0.29510922748022494,0.48638371582314277
0,refinement_router_full_int2,128,7,0.30117298263399833,0.4089678169050057,0.6024005184653153
0,refinement_router_full_int2,256,7,0.3763630979160576,0.5155279392084515,0.7259885656499974
0,refinement_router_full_int2,384,7,0.4725665035372216,0.63319270872782,0.7912460849936694
0,refinement_router_full_int2,512,7,0.566246536246189,0.6935696679247788,0.8257007378752791
0,refinement_router_full_int2,688,7,0.6737706334638957,0.7467420691310097,0.8564859312540138
0,refinement_router_full_int2,728,7,0.6709971511187578,0.7760870189134604,0.8699935495842267
0,refinement_router_full_int2,750,7,0.6664169465400698,0.7697815293763313,0.8688417804540491
0,refinement_router_full_int2,752,7,0.6662212302485169,0.7763898482350001,0.8697934431415008
0,refinement_router_full_int2,758,7,0.67257509901104,0.7681733736153492,0.8689377827007555
0,refinement_router_full_int2,760,7,0.6753804903211631,0.7651235689291014,0.868137838960618
0,refinement_router_full_int2,764,7,0.6837552103221624,0.7644130521939665,0.8680432385541486
0,refinement_router_full_int2,768,7,0.6884069139866253,0.7577854185023878,0.865174203539736
0,refinement_router_full_int2,1024,7,0.7392294481463553,0.7918619509143084,0.8833418872901512
0,refinement_router_rank1024_int4,64,7,0.26055935959697674,0.3449860532087302,0.4752717633871343
0,refinement_router_rank1024_int4,128,7,0.25146869498882196,0.4807263957871205,0.6207214820506506
0,refinement_router_rank1024_int4,256,7,0.47169891109603207,0.5220244622331591,0.7232626873537629
0,refinement_router_rank1024_int4,384,7,0.5299428014739517,0.6755744459683479,0.8262772404794557
0,refinement_router_rank1024_int4,512,7,0.5452368401919206,0.7484909959924929,0.8234147370279153
0,refinement_router_rank1024_int4,688,7,0.6086358973419524,0.7213117369110368,0.820157760287317
0,refinement_router_rank1024_int4,728,7,0.583351125129623,0.7314523413495366,0.8184217495433451
