method,physical_pages,n,isolated_recovery_p10,isolated_recovery_median,isolated_recovery_p90,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90,physically_encoded,budget_semantics
per_expert_joint_rank1024_fp32_oracle,728,55,0.9915971159267094,0.992404427340882,0.9999999722039726,0.9828783273367983,0.9911926154434829,0.9999999626344533,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,750,55,0.9933819433129816,0.994032995762957,0.9999999722036325,0.9864441541685269,0.9931883015111052,0.9999999626315775,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,752,55,0.9935330546209384,0.9941641618070189,0.9999999722035129,0.9864911589890538,0.9932331107804451,0.9999999626304118,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,758,55,0.9939722611047955,0.9945413220462812,0.9999999722029839,0.9887748573579925,0.9941719412336585,0.9999999626288075,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,760,55,0.994110378392303,0.9946631324547168,0.999999972202939,0.9895980106584309,0.9941899850991434,0.9999999626278397,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,764,55,0.9943776327696803,0.9949029234054099,0.9999999722029758,0.9896352235629687,0.994361292949955,0.9999999626269118,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,768,55,0.9946317734228933,0.9951355401939939,0.9999999722027705,0.9893606098544753,0.9943486750748427,0.9999999626263147,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,1024,55,0.9999999388561185,0.9999999471389167,0.99999997220358,0.9999999209222612,0.9999999391005973,0.9999999641953129,False,action_count_only
per_expert_joint_rank1024_int2,64,55,0.4199325122568486,0.4456198830590866,0.47356021126576536,0.06702846685589448,0.38874852946351435,0.6798607531035198,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,128,55,0.602299341791529,0.6214329306401625,0.6634274673811044,0.3679671081964189,0.5976729278954748,0.7645569825529841,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,256,55,0.7680428661486196,0.784350875907086,0.8007073478729657,0.6383021236143099,0.7913553789052588,0.8888722496136205,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,384,55,0.78181998302764,0.8484675477493699,0.8636707910221547,0.6816246656565462,0.8492341038863873,0.9187117914665035,True,physical_512_byte_pages
per_expert_joint_rank1024_int2,512,55,0.7818205719359054,0.863141531721203,0.8807183003930438,0.7455791494473666,0.845803937767167,0.9207729272234529,True,physical_512_byte_pages
