method,budget_bpw,layer,expert_id,expert_stratum,invocations,mean,median
independent_direct_generalized_native,1.0,39,235,hot,4,0.3588815778493881,0.39595112204551697
independent_direct_generalized_native,1.25,0,1,median,4,0.4498835802078247,0.4347728192806244
independent_direct_generalized_native,1.25,0,8,cold,1,0.6079557538032532,0.6079557538032532
independent_direct_generalized_native,1.25,0,17,cold,4,0.4038463979959488,0.407039612531662
independent_direct_generalized_native,1.25,0,22,median,4,0.3884085863828659,0.33677244186401367
independent_direct_generalized_native,1.25,0,114,median,1,0.6260761022567749,0.6260761022567749
independent_direct_generalized_native,1.25,0,158,median,4,0.3976861834526062,0.40781325101852417
independent_direct_generalized_native,1.25,0,164,cold,3,0.5227403044700623,0.5220059752464294
independent_direct_generalized_native,1.25,0,181,hot,4,0.3701915442943573,0.3532579839229584
independent_direct_generalized_native,1.25,0,206,hot,4,0.46965543925762177,0.46712061762809753
independent_direct_generalized_native,1.25,0,238,hot,4,0.4452604502439499,0.39836516976356506
independent_direct_generalized_native,1.25,0,248,cold,4,0.36241790652275085,0.33433255553245544
independent_direct_generalized_native,1.25,0,252,hot,4,0.76689612865448,0.7724316716194153
independent_direct_generalized_native,1.25,4,28,hot,4,0.42175067961215973,0.4198301136493683
independent_direct_generalized_native,1.25,4,36,median,4,0.3308018445968628,0.333856463432312
independent_direct_generalized_native,1.25,4,82,median,4,0.4734503775835037,0.4882897436618805
independent_direct_generalized_native,1.25,4,111,cold,1,0.43448203802108765,0.43448203802108765
independent_direct_generalized_native,1.25,4,129,hot,4,0.4013364911079407,0.4176068902015686
independent_direct_generalized_native,1.25,4,134,hot,4,0.37866920232772827,0.3732755780220032
independent_direct_generalized_native,1.25,4,143,cold,1,0.342579185962677,0.342579185962677
independent_direct_generalized_native,1.25,4,154,hot,4,0.38478873670101166,0.38699275255203247
independent_direct_generalized_native,1.25,4,190,median,4,0.4647136330604553,0.42911821603775024
independent_direct_generalized_native,1.25,4,193,median,4,0.3371580243110657,0.345893919467926
