method,threshold,layer,count,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
rrq_raw_heterogeneous_weight_only_down,0.975,39,33,4.900252525252525,4.708333333333333,5.5,5.5,5.5,5.5
rrq_raw_heterogeneous_weight_only_down,0.99,0,40,5.895833333333334,5.5,6.291666666666667,7.083333333333333,7.083333333333333,7.083333333333333
rrq_raw_heterogeneous_weight_only_down,0.99,4,33,5.811868686868687,5.5,6.291666666666667,6.291666666666667,7.083333333333333,7.083333333333333
rrq_raw_heterogeneous_weight_only_down,0.99,20,24,5.763888888888889,5.5,6.291666666666667,6.291666666666667,6.291666666666667,6.901249999999999
rrq_raw_heterogeneous_weight_only_down,0.99,39,31,6.291666666666666,6.291666666666667,7.083333333333333,7.083333333333333,7.083333333333333,7.083333333333333
rrq_raw_homogeneous,0.8,0,41,2.3943089430894307,2.375,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.9583333333333335
rrq_raw_homogeneous,0.8,4,34,3.0036764705882355,3.1666666666666665,3.1666666666666665,3.7208333333333328,3.9583333333333335,3.9583333333333335
rrq_raw_homogeneous,0.8,20,24,2.935763888888889,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.839583333333332,3.9583333333333335
rrq_raw_homogeneous,0.8,39,34,2.957107843137255,3.1666666666666665,3.1666666666666665,3.9583333333333335,3.9583333333333335,4.488750000000001
rrq_raw_homogeneous,0.9,0,41,3.3211382113821135,3.1666666666666665,3.9583333333333335,3.9583333333333335,4.75,4.75
rrq_raw_homogeneous,0.9,4,34,3.865196078431372,3.9583333333333335,3.9583333333333335,4.75,4.75,4.75
rrq_raw_homogeneous,0.9,20,24,3.8263888888888893,3.9583333333333335,4.15625,4.75,4.75,4.75
rrq_raw_homogeneous,0.9,39,34,3.9350490196078427,3.9583333333333335,3.9583333333333335,4.75,4.75,5.280416666666668
rrq_raw_homogeneous,0.95,0,41,4.035569105691057,3.9583333333333335,4.75,4.75,4.75,5.225000000000001
rrq_raw_homogeneous,0.95,4,34,4.633578431372548,4.75,4.75,4.75,5.541666666666667,5.541666666666667
rrq_raw_homogeneous,0.95,20,24,4.519097222222222,4.75,4.75,4.75,5.422916666666665,5.541666666666667
rrq_raw_homogeneous,0.95,39,34,4.75,4.75,4.75,5.541666666666667,5.541666666666667,5.541666666666667
rrq_raw_homogeneous,0.975,0,41,4.846544715447155,4.75,5.541666666666667,5.541666666666667,5.541666666666667,6.333333333333333
rrq_raw_homogeneous,0.975,4,34,5.262254901960784,5.541666666666667,5.541666666666667,6.095833333333332,6.333333333333333,6.333333333333333
rrq_raw_homogeneous,0.975,20,24,5.211805555555556,5.541666666666667,5.541666666666667,5.541666666666667,5.541666666666667,6.151249999999999
rrq_raw_homogeneous,0.975,39,34,5.3786764705882355,5.541666666666667,5.541666666666667,6.333333333333333,6.333333333333333,6.333333333333333
rrq_raw_homogeneous,0.99,0,41,6.024390243902439,6.333333333333333,6.333333333333333,7.125,7.125,7.125
rrq_raw_homogeneous,0.99,4,34,6.333333333333334,6.333333333333333,6.927083333333333,7.125,7.125,7.125
rrq_raw_homogeneous,0.99,20,24,6.135416666666667,6.333333333333333,6.333333333333333,6.333333333333333,7.006249999999998,7.125
rrq_raw_homogeneous,0.99,39,34,6.310049019607843,6.333333333333333,6.333333333333333,7.125,7.125,7.125
