method,budget_bpw,layer,invocations,mean,p10,median,p90
rrq_raw_heterogeneous,4.0,20,24,0.9610443065563837,0.9371121346950531,0.9639078676700592,0.9756475627422333
rrq_raw_heterogeneous,4.0,39,34,0.9540867226965287,0.9387064874172211,0.9550670981407166,0.9734298586845398
rrq_raw_heterogeneous_bf16_scales,0.75,0,41,0.20959507401396588,0.03728532791137695,0.20907795429229736,0.34886687994003296
rrq_raw_heterogeneous_bf16_scales,0.75,4,34,0.2731010791133432,0.01016416549682618,0.29575294256210327,0.5213639974594115
rrq_raw_heterogeneous_bf16_scales,0.75,20,24,0.3161170780658722,0.15240962505340577,0.3420426845550537,0.46473581790924073
rrq_raw_heterogeneous_bf16_scales,0.75,39,34,0.2227210490142598,0.0,0.21990647912025452,0.455764502286911
rrq_raw_heterogeneous_bf16_scales,1.0,0,41,0.45691029036917336,0.35068279504776,0.40672314167022705,0.6800686120986938
rrq_raw_heterogeneous_bf16_scales,1.0,4,34,0.4206092077143052,0.33174421787261965,0.40946266055107117,0.5415185213088989
rrq_raw_heterogeneous_bf16_scales,1.0,20,24,0.42405130465825397,0.3091603219509125,0.39830419421195984,0.5473487734794616
rrq_raw_heterogeneous_bf16_scales,1.0,39,34,0.4480499257059658,0.328398597240448,0.45594093203544617,0.5575039684772491
rrq_raw_heterogeneous_bf16_scales,1.25,0,41,0.45691029036917336,0.35068279504776,0.40672314167022705,0.6800686120986938
rrq_raw_heterogeneous_bf16_scales,1.25,4,34,0.4206092077143052,0.33174421787261965,0.40946266055107117,0.5415185213088989
rrq_raw_heterogeneous_bf16_scales,1.25,20,24,0.42405130465825397,0.3091603219509125,0.39830419421195984,0.5473487734794616
rrq_raw_heterogeneous_bf16_scales,1.25,39,34,0.4480499257059658,0.328398597240448,0.45594093203544617,0.5575039684772491
rrq_raw_heterogeneous_bf16_scales,1.5,0,41,0.45691029036917336,0.35068279504776,0.40672314167022705,0.6800686120986938
rrq_raw_heterogeneous_bf16_scales,1.5,4,34,0.4206092077143052,0.33174421787261965,0.40946266055107117,0.5415185213088989
rrq_raw_heterogeneous_bf16_scales,1.5,20,24,0.42405130465825397,0.3091603219509125,0.39830419421195984,0.5473487734794616
rrq_raw_heterogeneous_bf16_scales,1.5,39,34,0.4480499257059658,0.328398597240448,0.45594093203544617,0.5575039684772491
rrq_raw_heterogeneous_bf16_scales,2.0,0,41,0.6985876545673464,0.5837012529373169,0.681679368019104,0.835334837436676
