method,budget_bpw,aggregate,invocations,requests,mean_recovery,p10_recovery,p25_recovery,median_recovery,p75_recovery,p90_recovery,p95_remaining_damage,mean_relative_output_error,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_actual_bpw,median_page_amplification,median_bootstrap_ci_low,median_bootstrap_ci_high
rrq_raw_heterogeneous_fp32_scales_upper,1.25,difficult_4_20_39,92,15,0.43167281993057416,0.32435182929039,0.3582431972026825,0.4315902888774872,0.49465931951999664,0.5496655762195587,0.6918354362249375,0.44398283116195514,0.0,0.0,0.0,0.0,0.875,1.0,0.4148872077465057,0.45545005798339844
rrq_raw_heterogeneous_fp32_scales_upper,1.5,difficult_4_20_39,92,15,0.43167281993057416,0.32435182929039,0.3582431972026825,0.4315902888774872,0.49465931951999664,0.5496655762195587,0.6918354362249375,0.44398283116195514,0.0,0.0,0.0,0.0,0.875,1.0,0.4194207787513733,0.45545005798339844
rrq_raw_heterogeneous_fp32_scales_upper,2.0,difficult_4_20_39,92,15,0.6761779221503631,0.5803145468235016,0.6099984645843506,0.6821005046367645,0.7458675652742386,0.7790378928184509,0.4459359705448151,0.3354918417399344,0.043478260869565216,0.0,0.0,0.0,1.7083333333333333,1.0,0.6471503376960754,0.7063931226730347
rrq_raw_heterogeneous_fp32_scales_upper,2.25,difficult_4_20_39,92,15,0.6761779221503631,0.5803145468235016,0.6099984645843506,0.6821005046367645,0.7458675652742386,0.7790378928184509,0.4459359705448151,0.3354918417399344,0.043478260869565216,0.0,0.0,0.0,1.7083333333333333,1.0,0.6471503376960754,0.7063931226730347
rrq_raw_heterogeneous_fp32_scales_upper,3.0,difficult_4_20_39,92,15,0.8613767578550007,0.7895475625991821,0.8188475966453552,0.8727494180202484,0.9081867933273315,0.9295498132705688,0.2562896072864534,0.19599648289706395,0.8804347826086957,0.29347826086956524,0.043478260869565216,0.0,2.5833333333333335,1.0,0.8396265506744385,0.8919128976762295
rrq_raw_heterogeneous_fp32_scales_upper,4.0,difficult_4_20_39,92,15,0.9238473798917688,0.8910996377468109,0.9035588949918747,0.927625298500061,0.9487672001123428,0.9559698700904846,0.13285623192787177,0.15914841117742268,1.0,0.8152173913043478,0.2391304347826087,0.0,3.4583333333333335,1.0,0.9110187292098999,0.934708409756422
rrq_raw_heterogeneous_weight_only_down,0.75,difficult_4_20_39,92,15,0.26576389825862384,0.0017948865890502865,0.14595873653888702,0.27058160305023193,0.3895275741815567,0.47979766130447393,1.0,0.47238352927176847,0.0,0.0,0.0,0.0,0.75,1.0,0.17867177724838257,0.3107920289039612
rrq_raw_heterogeneous_weight_only_down,1.0,difficult_4_20_39,92,15,0.4257823617562004,0.3102903485298157,0.3474902957677841,0.4217781722545624,0.4934159964323044,0.5425704479217529,0.7186517953872681,0.44617922895628476,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.39115607738494873,0.44515216574072836
rrq_raw_heterogeneous_weight_only_down,1.25,difficult_4_20_39,92,15,0.4257823617562004,0.3102903485298157,0.3474902957677841,0.4217781722545624,0.4934159964323044,0.5425704479217529,0.7186517953872681,0.44617922895628476,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.3931524157524109,0.44548195600509644
rrq_raw_heterogeneous_weight_only_down,1.5,difficult_4_20_39,92,15,0.4257823617562004,0.3102903485298157,0.3474902957677841,0.4217781722545624,0.4934159964323044,0.5425704479217529,0.7186517953872681,0.44617922895628476,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.39312746152281763,0.44548195600509644
rrq_raw_heterogeneous_weight_only_down,2.0,difficult_4_20_39,92,15,0.678190652443015,0.5681910395622254,0.6212219297885895,0.6860266029834747,0.7386273145675659,0.7766151309013367,0.4435859799385071,0.33837844042674353,0.05434782608695652,0.0,0.0,0.0,1.5416666666666667,1.0,0.6604900658130646,0.6965683698654175
rrq_raw_heterogeneous_weight_only_down,2.25,difficult_4_20_39,92,15,0.678190652443015,0.5681910395622254,0.6212219297885895,0.6860266029834747,0.7386273145675659,0.7766151309013367,0.4435859799385071,0.33837844042674353,0.05434782608695652,0.0,0.0,0.0,1.5416666666666667,1.0,0.6619682908058167,0.6965683698654175
rrq_raw_heterogeneous_weight_only_down,3.0,difficult_4_20_39,92,15,0.8657924299654753,0.7936127424240113,0.8231795877218246,0.8803653120994568,0.9123224318027496,0.9317728817462921,0.23614776730537418,0.1976225437677425,0.8695652173913043,0.3804347826086957,0.043478260869565216,0.0,2.3333333333333335,1.0,0.8492602705955505,0.9001250267028809
rrq_raw_heterogeneous_weight_only_down,4.0,difficult_4_20_39,92,15,0.9575538959192194,0.9364362537860871,0.9494612365961075,0.9604344367980957,0.9688751399517059,0.9754622638225555,0.07017967402935028,0.11946135560941437,1.0,1.0,0.7391304347826086,0.0,3.9166666666666665,1.0,0.9578324608504772,0.9617462784051896
rrq_raw_homogeneous,0.75,difficult_4_20_39,92,15,6.4787657364555025e-09,0.0,0.0,0.0,0.0,5.36441802978519e-08,1.0,0.5406104196672854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rrq_raw_homogeneous,1.0,difficult_4_20_39,92,15,0.40374249738195667,0.2812177658081055,0.3221353143453598,0.40347233414649963,0.46672260761260986,0.5283733606338501,0.7521245628595352,0.45544635212939716,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.37680232524871826,0.42715370655059814
