method,budget_bpw,layer,gate_physical_bpw,up_physical_bpw,down_physical_bpw,physical_bpw,recovery
rrq_raw_heterogeneous_weight_only_down,1.25,20,0.0,1.125,0.0,0.7708333333333333,0.39831846952438354
rrq_raw_heterogeneous_weight_only_down,1.25,39,0.0,0.0,2.375,0.7916666666666666,0.4408099055290222
rrq_raw_heterogeneous_weight_only_down,1.5,0,0.0,0.0,2.375,0.7916666666666666,0.42187100648880005
rrq_raw_heterogeneous_weight_only_down,1.5,4,0.0,0.0,0.0,0.7916666666666666,0.40333208441734314
rrq_raw_heterogeneous_weight_only_down,1.5,20,0.0,1.125,0.0,0.7708333333333333,0.39831846952438354
rrq_raw_heterogeneous_weight_only_down,1.5,39,0.0,0.0,2.375,0.7916666666666666,0.4408099055290222
rrq_raw_heterogeneous_weight_only_down,2.0,0,0.0,0.0,2.375,1.5833333333333333,0.6792686581611633
rrq_raw_heterogeneous_weight_only_down,2.0,4,0.0,2.25,2.375,1.5416666666666667,0.678227961063385
rrq_raw_heterogeneous_weight_only_down,2.0,20,2.375,2.25,2.375,1.5416666666666667,0.6976138353347778
rrq_raw_heterogeneous_weight_only_down,2.0,39,2.375,1.125,2.375,1.5625,0.6940927505493164
rrq_raw_heterogeneous_weight_only_down,2.25,0,0.0,0.0,2.375,1.5833333333333333,0.6792686581611633
rrq_raw_heterogeneous_weight_only_down,2.25,4,0.0,2.25,2.375,1.5416666666666667,0.678227961063385
rrq_raw_heterogeneous_weight_only_down,2.25,20,2.375,2.25,2.375,1.5416666666666667,0.6976138353347778
rrq_raw_heterogeneous_weight_only_down,2.25,39,2.375,1.125,2.375,1.5625,0.6940927505493164
rrq_raw_heterogeneous_weight_only_down,3.0,0,2.375,2.25,2.375,2.3333333333333335,0.8411757946014404
rrq_raw_heterogeneous_weight_only_down,3.0,4,2.375,2.25,2.375,2.3333333333333335,0.8874834179878235
rrq_raw_heterogeneous_weight_only_down,3.0,20,2.375,2.25,2.375,2.3333333333333335,0.9081199169158936
rrq_raw_heterogeneous_weight_only_down,3.0,39,2.375,2.25,2.375,2.3333333333333335,0.8478430509567261
rrq_raw_heterogeneous_weight_only_down,4.0,0,2.375,4.625,4.75,3.9166666666666665,0.9656031131744385
rrq_raw_heterogeneous_weight_only_down,4.0,4,4.75,4.625,4.75,3.9166666666666665,0.9598824679851532
rrq_raw_heterogeneous_weight_only_down,4.0,20,2.375,4.625,4.75,3.9166666666666665,0.963851273059845
rrq_raw_heterogeneous_weight_only_down,4.0,39,3.5625,4.625,4.75,3.9166666666666665,0.958461344242096
rrq_raw_homogeneous,0.75,0,0.0,0.0,0.0,0.0,0.0
rrq_raw_homogeneous,0.75,4,0.0,0.0,0.0,0.0,0.0
rrq_raw_homogeneous,0.75,20,0.0,0.0,0.0,0.0,0.0
rrq_raw_homogeneous,0.75,39,0.0,0.0,0.0,0.0,0.0
rrq_raw_homogeneous,1.0,0,0.0,0.0,2.375,0.7916666666666666,0.5148464441299438
rrq_raw_homogeneous,1.0,4,0.0,0.0,0.0,0.7916666666666666,0.39795005321502686
rrq_raw_homogeneous,1.0,20,0.0,0.0,0.0,0.7916666666666666,0.371730238199234
rrq_raw_homogeneous,1.0,39,0.0,0.0,2.375,0.7916666666666666,0.4206507205963135
rrq_raw_homogeneous,1.25,0,0.0,0.0,2.375,0.7916666666666666,0.5148464441299438
rrq_raw_homogeneous,1.25,4,0.0,0.0,0.0,0.7916666666666666,0.39795005321502686
rrq_raw_homogeneous,1.25,20,0.0,0.0,0.0,0.7916666666666666,0.371730238199234
rrq_raw_homogeneous,1.25,39,0.0,0.0,2.375,0.7916666666666666,0.4206507205963135
rrq_raw_homogeneous,1.5,0,0.0,0.0,2.375,0.7916666666666666,0.5148464441299438
rrq_raw_homogeneous,1.5,4,0.0,0.0,0.0,0.7916666666666666,0.39795005321502686
rrq_raw_homogeneous,1.5,20,0.0,0.0,0.0,0.7916666666666666,0.371730238199234
rrq_raw_homogeneous,1.5,39,0.0,0.0,2.375,0.7916666666666666,0.4206507205963135
rrq_raw_homogeneous,2.0,0,0.0,2.375,2.375,1.5833333333333333,0.7059609889984131
rrq_raw_homogeneous,2.0,4,2.375,2.375,2.375,1.5833333333333333,0.5974593758583069
rrq_raw_homogeneous,2.0,20,2.375,2.375,2.375,1.5833333333333333,0.6330717504024506
rrq_raw_homogeneous,2.0,39,1.1875,1.1875,2.375,1.5833333333333333,0.6450912356376648
rrq_raw_homogeneous,2.25,0,0.0,2.375,2.375,1.5833333333333333,0.7059609889984131
rrq_raw_homogeneous,2.25,4,2.375,2.375,2.375,1.5833333333333333,0.5974593758583069
rrq_raw_homogeneous,2.25,20,2.375,2.375,2.375,1.5833333333333333,0.6330717504024506
rrq_raw_homogeneous,2.25,39,1.1875,1.1875,2.375,1.5833333333333333,0.6450912356376648
rrq_raw_homogeneous,3.0,0,2.375,2.375,2.375,2.375,0.8465086817741394
rrq_raw_homogeneous,3.0,4,2.375,2.375,2.375,2.375,0.776603639125824
rrq_raw_homogeneous,3.0,20,2.375,2.375,2.375,2.375,0.774198591709137
rrq_raw_homogeneous,3.0,39,2.375,2.375,2.375,2.375,0.7945024967193604
rrq_raw_homogeneous,4.0,0,4.75,2.375,4.75,3.9583333333333335,0.9628145098686218
rrq_raw_homogeneous,4.0,4,2.375,4.75,4.75,3.9583333333333335,0.9263120591640472
rrq_raw_homogeneous,4.0,20,2.375,4.75,4.75,3.9583333333333335,0.9340800344944
rrq_raw_homogeneous,4.0,39,3.5625,4.75,4.75,3.9583333333333335,0.9356968402862549
