method,layer,expert_id,budget_bpw,invocations,median_recovery
A0_current_Q2_whole_projection,39,43,2.5,2,0.737244087645256
A0_current_Q2_whole_projection,39,43,3.0,2,0.7917050462773881
A0_current_Q2_whole_projection,39,43,4.0,2,0.7995595073433222
A0_current_Q2_whole_projection,39,55,0.0,4,0.0
A0_current_Q2_whole_projection,39,55,0.5,4,0.48764073417027737
A0_current_Q2_whole_projection,39,55,0.75,4,0.5762966256475966
A0_current_Q2_whole_projection,39,55,1.0,4,0.6008770301521955
A0_current_Q2_whole_projection,39,55,1.5,4,0.6664232635162903
A0_current_Q2_whole_projection,39,55,2.0,4,0.6983354595037112
A0_current_Q2_whole_projection,39,55,2.5,4,0.7184537320630469
A0_current_Q2_whole_projection,39,55,3.0,4,0.7408760809232687
A0_current_Q2_whole_projection,39,55,4.0,4,0.7727871157382399
A0_current_Q2_whole_projection,39,70,0.0,4,0.0
A0_current_Q2_whole_projection,39,70,0.5,4,0.49234487003499505
A0_current_Q2_whole_projection,39,70,0.75,4,0.5395409595415982
A0_current_Q2_whole_projection,39,70,1.0,4,0.6252296007908282
A0_current_Q2_whole_projection,39,70,1.5,4,0.7438104176012779
A0_current_Q2_whole_projection,39,70,2.0,4,0.7806356726364883
A0_current_Q2_whole_projection,39,70,2.5,4,0.820668352902837
A0_current_Q2_whole_projection,39,70,3.0,4,0.8596314764602584
A0_current_Q2_whole_projection,39,70,4.0,4,0.8747565441917289
A0_current_Q2_whole_projection,39,147,0.0,4,0.0
A0_current_Q2_whole_projection,39,147,0.5,4,0.49176853484554034
A0_current_Q2_whole_projection,39,147,0.75,4,0.5528269991892001
A0_current_Q2_whole_projection,39,147,1.0,4,0.5869443059230834
A0_current_Q2_whole_projection,39,147,1.5,4,0.6922865200762587
A0_current_Q2_whole_projection,39,147,2.0,4,0.7330046496388432
A0_current_Q2_whole_projection,39,147,2.5,4,0.7655162485569151
A0_current_Q2_whole_projection,39,147,3.0,4,0.7859481574501954
A0_current_Q2_whole_projection,39,147,4.0,4,0.8169685991793224
A0_current_Q2_whole_projection,39,189,0.0,4,0.0
A0_current_Q2_whole_projection,39,189,0.5,4,0.7385676236075486
A0_current_Q2_whole_projection,39,189,0.75,4,0.7932455115525696
A0_current_Q2_whole_projection,39,189,1.0,4,0.8141155708011059
A0_current_Q2_whole_projection,39,189,1.5,4,0.841756600677369
A0_current_Q2_whole_projection,39,189,2.0,4,0.8682335384508137
