method,requested_rank,fit,coefficient_bits,down_physical_bpw,invocations,mean_recovery,median_recovery,p10_recovery,p90_recovery
B3_action_cluster_4,128,activation_ls,16,0.03125,2,0.25264275074005127,0.25264275074005127,0.19073288440704345,0.3145526170730591
B3_action_cluster_4,128,activation_ls,16,0.0625,4,0.007070466876029968,0.012591451406478882,-0.013613551855087279,0.023337697982788088
B3_action_cluster_4,128,activation_ls,16,0.15625,5,0.07657389640808106,0.10269761085510254,0.01618492603302002,0.11835982799530029
B3_action_cluster_4,128,activation_ls,16,0.1875,8,0.2802990674972534,0.15978282690048218,-0.097573983669281,0.7671315729618072
B3_action_cluster_4,128,activation_ls,16,0.21875,4,0.3226226717233658,0.31592223048210144,0.12374011874198913,0.5268655776977539
B3_action_cluster_4,128,activation_ls,16,0.96875,10,0.7135668635368347,0.8193370997905731,0.38240712881088257,0.9811255097389221
B3_action_cluster_4,128,activation_ls,16,1.0,14,0.4278597320829119,0.49675729870796204,0.1038784146308899,0.6768443703651429
B3_action_cluster_4,128,activation_ls,16,1.03125,86,0.45675876805948656,0.4418172836303711,0.02705797553062439,0.9585568010807037
B3_action_cluster_4,128,projection,4,0.03125,6,0.0993940035502116,0.029779821634292603,0.021856248378753662,0.2465459406375885
B3_action_cluster_4,128,projection,4,0.0625,17,0.23292800608803244,0.11849486827850342,-0.036387395858764646,0.6493201017379762
B3_action_cluster_4,128,projection,4,0.28125,110,0.46859830563718624,0.4678463339805603,0.03611934781074524,0.9412922561168672
B3_action_cluster_4,128,projection,8,0.03125,6,0.09709510207176208,0.030215144157409668,0.014562219381332397,0.2465079426765442
B3_action_cluster_4,128,projection,8,0.09375,13,0.19965764192434457,0.1119571328163147,-0.03008017539978027,0.6995354771614076
B3_action_cluster_4,128,projection,8,0.125,4,0.3397296667098999,0.33668822050094604,0.1158089280128479,0.5660835623741151
B3_action_cluster_4,128,projection,8,0.5,10,0.7264220416545868,0.8297305107116699,0.4566699981689453,0.9861814856529236
B3_action_cluster_4,128,projection,8,0.53125,100,0.4499501174688339,0.4367453455924988,0.038361895084381106,0.9165256917476657
B3_action_cluster_4,128,projection,16,0.03125,2,0.2464589774608612,0.2464589774608612,0.1899706780910492,0.30294727683067324
B3_action_cluster_4,128,projection,16,0.0625,4,0.022655323147773743,0.025380760431289673,0.011772972345352174,0.03135732412338257
B3_action_cluster_4,128,projection,16,0.15625,5,0.08840355873107911,0.11178076267242432,0.021201920509338383,0.13212811946868896
B3_action_cluster_4,128,projection,16,0.1875,8,0.2689228355884552,0.1537005603313446,-0.09543976783752439,0.7666172325611115
B3_action_cluster_4,128,projection,16,0.21875,4,0.3399902731180191,0.33651086688041687,0.11632718443870545,0.5664368867874146
B3_action_cluster_4,128,projection,16,0.96875,10,0.7261612355709076,0.8287503719329834,0.45601458549499513,0.9861028730869293
B3_action_cluster_4,128,projection,16,1.0,14,0.44059017300605774,0.4751288890838623,0.13934426307678222,0.6673820972442627
B3_action_cluster_4,128,projection,16,1.03125,86,0.45134077931559363,0.4279464781284332,0.03222852945327759,0.9475115835666656
B3_action_cluster_4,256,activation_ls,4,0.03125,6,0.08719358841578166,0.029004693031311035,-0.019259870052337646,0.2518359422683716
B3_action_cluster_4,256,activation_ls,4,0.0625,17,0.22679956169689403,0.11503595113754272,-0.009823381900787347,0.6083912372589112
B3_action_cluster_4,256,activation_ls,4,0.28125,32,0.49162939563393593,0.49771955609321594,0.10607885122299195,0.9433859944343568
B3_action_cluster_4,256,activation_ls,4,0.4375,12,0.40406186878681183,0.4219379425048828,0.058893185853958134,0.7333769619464875
