capture_source,request_id,position,layer,expert_id,projection,backward_elimination,diagonal,exact_marginal_fixed_greedy,diagonal_over_exact
cross_reference,tfprod-req000465-680cd842,432,39,180,gate,3492.0,1687.0,514.0,3.282101167315175
cross_reference,tfprod-req000465-680cd842,432,39,180,up,3473.0,1735.0,520.0,3.3365384615384617
cross_reference,tfprod-req000465-680cd842,496,4,176,gate,2513.0,1589.0,547.0,2.9049360146252283
cross_reference,tfprod-req000465-680cd842,496,4,176,up,2730.0,1475.0,428.0,3.446261682242991
cross_reference,tfprod-req000465-680cd842,528,20,129,gate,3373.0,1604.0,559.0,2.8694096601073347
cross_reference,tfprod-req000465-680cd842,528,20,129,up,3326.0,1715.0,488.0,3.514344262295082
cross_reference,tfprod-req000465-680cd842,560,4,176,gate,2473.0,1449.0,617.0,2.348460291734198
cross_reference,tfprod-req000465-680cd842,560,4,176,up,2195.0,1418.0,461.0,3.0759219088937093
cross_reference,tfprod-req000467-1cb80e69,112,0,238,gate,2532.0,932.0,367.0,2.5395095367847413
cross_reference,tfprod-req000467-1cb80e69,112,0,238,up,2631.0,904.0,311.0,2.9067524115755625
cross_reference,tfprod-req000467-1cb80e69,160,0,238,gate,2798.0,1098.0,389.0,2.822622107969152
cross_reference,tfprod-req000467-1cb80e69,160,0,238,up,2501.0,1017.0,342.0,2.973684210526316
cross_reference,tfprod-req000467-1cb80e69,176,39,155,gate,3454.0,1516.0,512.0,2.9609375
cross_reference,tfprod-req000467-1cb80e69,176,39,155,up,3529.0,1473.0,428.0,3.441588785046729
cross_reference,tfprod-req000467-1cb80e69,224,0,207,gate,2704.0,959.0,320.0,2.996875
cross_reference,tfprod-req000467-1cb80e69,224,0,207,up,2656.0,1182.0,308.0,3.8376623376623376
cross_reference,tfprod-req000467-1cb80e69,240,4,156,gate,3064.0,1646.0,638.0,2.579937304075235
cross_reference,tfprod-req000467-1cb80e69,240,4,156,up,2786.0,1534.0,510.0,3.007843137254902
cross_reference,tfprod-req000467-1cb80e69,288,4,176,gate,2271.0,1401.0,572.0,2.449300699300699
cross_reference,tfprod-req000467-1cb80e69,288,4,176,up,2219.0,1336.0,473.0,2.824524312896406
cross_reference,tfprod-req000472-89634ba8,464,0,207,gate,2711.0,1046.0,323.0,3.238390092879257
cross_reference,tfprod-req000472-89634ba8,464,0,207,up,2977.0,1073.0,325.0,3.3015384615384615
cross_reference,tfprod-req000473-6754f19b,464,20,225,gate,3487.0,1486.0,463.0,3.2095032397408207
cross_reference,tfprod-req000473-6754f19b,464,20,225,up,3320.0,1722.0,445.0,3.8696629213483145
cross_reference,tfprod-req000473-6754f19b,560,20,129,gate,3394.0,1597.0,691.0,2.3111432706222867
cross_reference,tfprod-req000473-6754f19b,560,20,129,up,3347.0,1507.0,482.0,3.1265560165975104
cross_reference,tfprod-req000595-d7a20dae,96,20,225,gate,3300.0,1383.0,490.0,2.8224489795918366
cross_reference,tfprod-req000595-d7a20dae,96,20,225,up,3269.0,1623.0,434.0,3.73963133640553
cross_reference,tfprod-req000595-d7a20dae,128,0,238,gate,2409.0,954.0,368.0,2.592391304347826
cross_reference,tfprod-req000595-d7a20dae,128,0,238,up,2491.0,838.0,301.0,2.784053156146179
cross_reference,tfprod-req000595-d7a20dae,144,0,238,gate,2331.0,889.0,337.0,2.6379821958456975
cross_reference,tfprod-req000595-d7a20dae,144,0,238,up,2118.0,887.0,308.0,2.8798701298701297
cross_reference,tfprod-req000595-d7a20dae,192,0,207,gate,2391.0,1028.0,303.0,3.392739273927393
cross_reference,tfprod-req000595-d7a20dae,192,0,207,up,2482.0,1165.0,296.0,3.935810810810811
cross_reference,tfprod-req000595-d7a20dae,208,39,155,gate,3534.0,1637.0,587.0,2.7887563884156727
cross_reference,tfprod-req000595-d7a20dae,208,39,155,up,3509.0,1538.0,469.0,3.279317697228145
cross_reference,tfprod-req000595-d7a20dae,256,39,155,gate,3489.0,1753.0,543.0,3.2283609576427255
cross_reference,tfprod-req000595-d7a20dae,256,39,155,up,3427.0,1677.0,467.0,3.5910064239828694
