factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,5,32,376.53125,384.0,316.1,429.8,0.953011319121098,0.9215014080578326
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,6,32,366.4375,381.5,299.0,410.70000000000005,0.9625596775863352,0.9283864569808883
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,7,32,380.0625,384.0,316.8,453.20000000000005,0.9423585669549994,0.9143440956248446
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,8,32,349.3125,384.0,270.9,390.6,0.9430521421617125,0.9139923295826125
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,1,32,377.4375,398.5,113.8,528.8000000000001,0.9548814104352005,0.9004929360898803
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,2,32,327.25,381.5,104.1,477.1000000000001,0.9502115461435452,0.857108289678772
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,3,32,379.0625,386.0,201.0,493.20000000000005,0.9679052578357177,0.9162161551482433
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,4,32,404.1875,384.0,306.1,502.3,0.9428228634852427,0.903980439259957
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,5,32,390.6875,391.0,277.2,500.9,0.9445971714442389,0.9006209823241693
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,6,32,390.75,384.0,325.6,502.70000000000005,0.9391848806850837,0.9059505480497606
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,7,32,402.5625,384.0,326.1,470.50000000000006,0.9473392623386198,0.9258581787509906
