group,policy,budget_bpw,invocations,requests,p10_recovery,median_recovery,p90_recovery,mean_recovery,median_ci_low,median_ci_high,median_logical_bpw,median_physical_bpw,median_page_amplification
layer 0,parity_abq,1.25,16,4,0.9396690388080169,0.963812865030151,0.9795411843562395,0.9626271928289917,0.9585214060441756,0.9748637720859477,1.24755859375,1.25,1.0019569642163675
layer 0,parity_abq,1.5,16,4,0.9802925859015003,0.9918549071755141,0.9959831971961897,0.9892223065873533,0.9881072670107,0.9929121208589434,1.4974772135416665,1.5,1.0016846940077402
layer 0,parity_abq,2.0,16,4,0.9999999999995737,0.999999999999736,0.9999999999998296,0.9999999999997027,0.9999999999996997,0.9999999999997868,1.6559244791666667,1.6692708333333333,1.0028377601855372
layers 4/20/39,bidirectional_ab,0.25,54,6,0.4014112067509053,0.614418297711011,0.8351081907168176,0.6187781834955633,0.5494785657190256,0.6875621999940728,0.25,0.25,1.0
layers 4/20/39,bidirectional_ab,0.5,54,6,0.6196229745489729,0.782036454524226,0.9533008176168849,0.7799173484629216,0.743885461023488,0.8270521337525728,0.5,0.5,1.0
layers 4/20/39,bidirectional_ab,0.75,54,6,0.7485672191005135,0.8685029055535392,0.9791819925862361,0.863030625881385,0.8410658314153574,0.8971381291030499,0.749755859375,0.75,1.0002170609941394
layers 4/20/39,bidirectional_ab,1.0,54,6,0.8534214021588685,0.918083626320916,0.9903881788086978,0.9166382845788216,0.89474957571206,0.934324612630442,0.9996744791666666,1.0,1.000325626831651
layers 4/20/39,bidirectional_ab,1.25,54,6,0.9197600591344384,0.9531528408808441,0.994780073805183,0.9540007993615438,0.9512194438450258,0.9617070721821321,1.2495930989583335,1.25,1.0003256310743454
layers 4/20/39,bidirectional_ab,1.5,54,6,0.9581037968117283,0.9792351768837577,0.9977012880550176,0.9769296041194686,0.9753034888168716,0.9818533231727324,1.49951171875,1.5,1.000325626831651
layers 4/20/39,bidirectional_ab,2.0,54,6,0.999999999999345,0.9999999999996456,0.9999999999998538,0.9999999999996056,0.9999999999994934,0.9999999999997256,1.9993489583333333,2.0,1.000325626831651
