factor_config_id,physical_budget_pages,solver,factor_family,tail_rank,exact_rank,total_rank,encoding,hadamard_rotated,geometry_ceiling,factor_payload_bytes,combined_metadata_bpw,selector_compute_macs_max,recovery_p10,recovery_median,recovery_p90,retention_p10,retention_median,retention_p90,gap_p10,gap_median,gap_p90,geometry_gate_pass,compute_gate_pass,metadata_gate_pass
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,576,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,0,4,4,fp32,False,True,16384,0.049509684244791664,454656,0.9221611627593241,0.9600533911612658,0.9990596020054147,0.9944332047289597,0.9990358309122201,1.004756895711316,-0.005226362799903161,-0.0009273750736963349,0.004532668761244518,True,True,True
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,768,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,0,4,4,fp32,False,True,16384,0.049509684244791664,454656,0.9605006704619882,0.9795154402573275,0.9998280773645484,0.9985347463117915,1.0,1.0025033021332492,-0.0014120877619314906,0.0,0.00241063055855304,True,True,True
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,384,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,16,4,20,fp32,False,True,81920,0.21617635091145834,1974272,0.8614312544491484,0.9273579458567469,0.9943145267401674,0.9858089670918824,0.9964917004860656,1.0012685965288333,-0.011965301386021006,-0.0030012434108513952,0.0012124410486084704,True,False,True
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,576,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,16,4,20,fp32,False,True,81920,0.21617635091145834,1974272,0.9256293021178905,0.9617678442182963,0.9990060357360516,0.9971384635376562,1.0000060493126617,1.0063777630532034,-0.002740985138553964,6.04904671330786e-06,0.005923400167516936,True,False,True
exact_proxy_plus_eigh_tail_tail16_exact4_fp32,768,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,16,4,20,fp32,False,True,81920,0.21617635091145834,1974272,0.9623698192198475,0.9815408394056168,0.9998965784234388,0.9994414142018438,1.0002194927093706,1.004082677287715,-0.000543199695754337,0.00021739564281320067,0.003976541635039488,True,False,True
exact_proxy_plus_eigh_tail_tail32_exact4_fp32,384,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,32,4,36,fp32,False,True,147456,0.382843017578125,3493888,0.862542818897614,0.9280103117375236,0.9946918119815378,0.985702833189451,0.9972115827169545,1.0010934827438418,-0.01285529485887431,-0.002497088257461866,0.0009867149539642972,True,False,False
exact_proxy_plus_eigh_tail_tail32_exact4_fp32,576,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,32,4,36,fp32,False,True,147456,0.382843017578125,3493888,0.9256291052251332,0.9629638025021644,0.9990478384796114,0.997534933908183,1.0002950091727467,1.0066161809444563,-0.0023332129871198814,0.0002915230090220211,0.00633266159761523,True,False,False
exact_proxy_plus_eigh_tail_tail32_exact4_fp32,768,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,32,4,36,fp32,False,True,147456,0.382843017578125,3493888,0.9626682676049125,0.9815955984048443,0.9998374042186912,0.9996928634465191,1.0004329265712393,1.0041785353620765,-0.0003044676669358146,0.0004295422014983785,0.004035847308830621,True,False,False
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,384,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,4,4,8,fp32,False,True,32768,0.09117635091145833,834560,0.8572504820282854,0.925616022588152,0.9948427882672191,0.9850590633753169,0.9960820469773104,1.0013132991866285,-0.013260794878389692,-0.0037325578388713865,0.0011026578229003552,True,True,True
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,576,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,4,4,8,fp32,False,True,32768,0.09117635091145833,834560,0.9257260080126292,0.9608006961345396,0.9990383738712594,0.9960218529964715,0.9999926587478742,1.0050399043906486,-0.003772614791951567,-7.189234558446778e-06,0.0048386778202249795,True,True,True
