injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,sequence_tokens,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_membership_change_fraction,router_mass_churn
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,0.25,3,44,1.855320817350565e-05,0.00017180721843170838,7.46122870477736e-05,9.990171268204599e-05,0.11363636363636363,0.012679550193875077
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,0.5,3,44,1.9912546385760585e-05,0.0002071522857882975,8.068341483716268e-05,0.00010258972627874894,0.1590909090909091,0.01521384315930182
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,1.0,3,44,2.25117391814613e-05,0.00021562010563433328,9.091637834344645e-05,9.922464642192805e-05,0.11363636363636363,0.012520451211871534
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,2.0,3,44,2.92360881169109e-05,0.00027461576818832987,0.000118744198437914,0.00010805317065334556,0.1590909090909091,0.016332720940150057
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,4.0,3,44,5.0342210512739754e-05,0.00046234954478805335,0.0002052873405065961,0.00013526014486814526,0.11363636363636363,0.013714898869021967
pre_residual_routed_replacement,frozen_set_live_weights,4,576,0.7734781901041666,0.125,3,44,1.8403838417022847e-05,0.00016208629109764507,7.423234606744726e-05,0.0001013527253285584,0.09090909090909091,0.01103050589540106
pre_residual_routed_replacement,frozen_set_live_weights,4,576,0.7734781901041666,0.25,3,44,1.839885725406599e-05,0.00016224016387120788,7.462971410864373e-05,9.78580152692123e-05,0.11363636363636363,0.013371930347567867
pre_residual_routed_replacement,frozen_set_live_weights,4,576,0.7734781901041666,0.5,3,44,1.936992927395212e-05,0.00018383716161240622,7.819256821597897e-05,9.712083127026804e-05,0.13636363636363635,0.013740573959209594
pre_residual_routed_replacement,frozen_set_live_weights,4,576,0.7734781901041666,1.0,3,44,2.070464609845017e-05,0.00020504777385506757,8.407802368681772e-05,0.00010386357497722179,0.11363636363636363,0.012829003005527147
pre_residual_routed_replacement,frozen_set_live_weights,4,576,0.7734781901041666,2.0,3,44,2.0238314272608644e-05,0.00017926563520858353,8.172047256875662e-05,9.939730140984855e-05,0.13636363636363635,0.014421731167226025
pre_residual_routed_replacement,frozen_set_live_weights,4,576,0.7734781901041666,4.0,3,44,2.6176537669574497e-05,0.00025901409133982634,0.00010660365849951306,0.00011155099300783422,0.11363636363636363,0.014799069264008242
pre_residual_routed_replacement,frozen_set_live_weights,4,749,0.9987386067708334,0.125,3,44,2.0648409307387862e-05,0.00020204861528902657,8.397918234801465e-05,0.00010312931826369076,0.13636363636363635,0.01402473336142996
pre_residual_routed_replacement,frozen_set_live_weights,4,749,0.9987386067708334,0.25,3,44,1.817187603592174e-05,0.0001656518566697349,7.334402850735096e-05,0.00010093371197885314,0.13636363636363635,0.014513999384680842
pre_residual_routed_replacement,frozen_set_live_weights,4,749,0.9987386067708334,0.5,3,44,2.272593076730283e-05,0.00023783287122579417,9.204918234158436e-05,0.00011380124489478787,0.1590909090909091,0.015618143751126197
pre_residual_routed_replacement,frozen_set_live_weights,4,749,0.9987386067708334,1.0,3,44,1.997404444089377e-05,0.00019759436319649094,8.077286650560633e-05,0.00010546287030093231,0.1590909090909091,0.016237775208013935
pre_residual_routed_replacement,frozen_set_live_weights,4,749,0.9987386067708334,2.0,3,44,2.3010198113772937e-05,0.000260814658858723,9.366326899083606e-05,0.00011558792898556056,0.11363636363636363,0.012735249547667294
pre_residual_routed_replacement,frozen_set_live_weights,4,749,0.9987386067708334,4.0,3,44,2.087675887516773e-05,0.00019239813961052015,8.432180753845109e-05,0.00010150030997740483,0.11363636363636363,0.011981270858557231
pre_residual_routed_replacement,frozen_set_live_weights,4,768,1.0234781901041665,0.125,3,44,1.8446324779895143e-05,0.00017914494493963834,7.48554543572992e-05,0.00010354864583662564,0.13636363636363635,0.014227401302232667
pre_residual_routed_replacement,frozen_set_live_weights,4,768,1.0234781901041665,0.25,3,44,2.0434509219119885e-05,0.00020665855010231762,8.203652898973079e-05,0.00010425631740324701,0.11363636363636363,0.012029908964005026
pre_residual_routed_replacement,frozen_set_live_weights,4,768,1.0234781901041665,0.5,3,44,1.9148896135654716e-05,0.00019294180530519026,7.781040620739235e-05,0.00010267171306954019,0.13636363636363635,0.013950601960534771
pre_residual_routed_replacement,frozen_set_live_weights,4,768,1.0234781901041665,1.0,3,44,2.1021272702496802e-05,0.00021325709110394463,8.503259474849039e-05,0.00010788456469856991,0.1590909090909091,0.01769814291386104
pre_residual_routed_replacement,frozen_set_live_weights,4,768,1.0234781901041665,2.0,3,44,1.9902232767518317e-05,0.00019293618584939186,8.072716040915326e-05,9.982370845482127e-05,0.1590909090909091,0.01827687345323993
pre_residual_routed_replacement,frozen_set_live_weights,4,768,1.0234781901041665,4.0,3,44,2.395166727999574e-05,0.00023584005558531802,9.68177553277085e-05,0.00010524747830706039,0.045454545454545456,0.007706810900793459
pre_residual_routed_replacement,frozen_set_live_weights,6,384,0.5234781901041666,0.125,3,44,1.7434136881630284e-05,0.00015681384839977272,7.036950311101691e-05,9.593145047239764e-05,0.13636363636363635,0.013957368976908933
pre_residual_routed_replacement,frozen_set_live_weights,6,384,0.5234781901041666,0.25,3,44,1.7205787897141405e-05,0.00015058466171537734,6.972159782697466e-05,9.582519521289192e-05,0.11363636363636363,0.012173831765852345
pre_residual_routed_replacement,frozen_set_live_weights,6,384,0.5234781901041666,0.5,3,44,1.8745255808674052e-05,0.0001582067199313447,7.590040212435903e-05,9.561051611718667e-05,0.11363636363636363,0.012743949657490273
pre_residual_routed_replacement,frozen_set_live_weights,6,384,0.5234781901041666,1.0,3,44,2.0947381394555784e-05,0.00019942134818933853,8.520729600658164e-05,0.0001045865735978209,0.18181818181818182,0.018257209331679725
pre_residual_routed_replacement,frozen_set_live_weights,6,384,0.5234781901041666,2.0,3,44,3.098112231792914e-05,0.0002632199432054304,0.0001255852613623169,0.00010948706751788679,0.13636363636363635,0.015131354063176379
pre_residual_routed_replacement,frozen_set_live_weights,6,384,0.5234781901041666,4.0,3,44,7.14853967477583e-05,0.0005696298949025102,0.0002888385307446057,0.00014273111130978024,0.20454545454545456,0.022783171782901065
