injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,label_tokens,intended_delta_energy,realized_layer_error_energy,layer_output_unchanged_fraction,first_route_membership_crossing_fraction,first_route_membership_distance_median,final_router_mass_churn,delta_nll,ppl_ratio,logit_kl,top1_agreement
post_xplus_fp32_once,live,0,749,0.9987386067708334,1.0,3,41,5.668071780622763e-07,4.997184413384293e-07,0.833459270350854,1.0,2.0,0.014653124776344666,-0.006296704253917414,0.9937230784446008,0.0027337422659744494,1.0
post_xplus_fp32_once,live,0,768,1.0234781901041665,1.0,3,41,4.085047189241406e-07,3.5222401998749534e-07,0.8604299004932282,1.0,2.0,0.015087561091696091,0.0025289120694389814,1.0025321124648374,0.0027826816427319067,1.0
post_xplus_fp32_once,live,1,384,0.5234781901041666,1.0,3,41,0.0004558713228720567,0.00045816364720817484,0.32417095248739447,1.0,1.0,0.014422073541528324,0.011867871954419644,1.0119385745664629,0.0026027681420065386,1.0
post_xplus_fp32_once,live,1,576,0.7734781901041666,1.0,3,41,0.0001570053193316364,0.00015885631805878157,0.3579040756368726,1.0,1.0,0.0219846328407133,0.0046348900844158086,1.0046456478013202,0.0021916219550486694,1.0
post_xplus_fp32_once,live,1,749,0.9987386067708334,1.0,3,41,5.61244708675503e-05,5.795183299292932e-05,0.4096944745739524,1.0,1.0,0.014361519069803642,0.00222056690666068,1.002223034191273,0.0029174788879046936,0.975609756097561
post_xplus_fp32_once,live,1,768,1.0234781901041665,1.0,3,41,5.00421483979062e-05,5.148141897642605e-05,0.4158638234284612,1.0,1.0,0.01897491434644191,0.011337214207771867,1.0114017239772974,0.0018372739685882317,1.0
post_xplus_fp32_once,live,4,384,0.5234781901041666,1.0,3,41,0.001286601771500365,0.0012935357151033495,0.3224797442676575,1.0,1.0,0.016400104861016902,0.006266718572942132,1.0062863955356334,0.0037000877461819607,0.975609756097561
post_xplus_fp32_once,live,4,576,0.7734781901041666,1.0,3,41,0.0004440638685789863,0.0004484971459151723,0.3553041421151892,1.0,2.0,0.015086626772781019,0.00913565557670871,1.0091775130461593,0.0025864736124672724,1.0
post_xplus_fp32_once,live,4,749,0.9987386067708334,1.0,3,41,0.00016185694462150828,0.00016550098351388065,0.40610964586020565,1.0,1.0,0.018238261635265485,0.006639523391947984,1.0066616138904487,0.002920121346469836,1.0
post_xplus_fp32_once,live,4,768,1.0234781901041665,1.0,3,41,0.00014410953322435062,0.00014829612583448873,0.41298395267794324,1.0,1.0,0.017026236804334835,0.01018830462958749,1.0102403821153692,0.0027817423377971343,0.975609756097561
post_xplus_fp32_once,live,6,384,0.5234781901041666,1.0,3,41,0.0016175608903892381,0.0016262851462885723,0.3476243315524351,1.0,1.0,0.016568602223429135,0.0021205980316132845,1.0021228480898277,0.0028750758807521972,1.0
post_xplus_fp32_once,live,6,576,0.7734781901041666,1.0,3,41,0.0005589690470901307,0.000566066708213815,0.3878119091155605,1.0,1.0,0.01486632279305946,-0.007057339078939967,0.9929675054586992,0.0024776528131697133,1.0
