layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q3_physical_training_coselection_replicated2,480,65.736328125,47.8115234375,106.5048828125,34.0224609375,92.4345703125,479.33203125
q3_physical_training_coselection_replicated2,512,69.8330078125,50.9052734375,113.6513671875,36.90234375,98.5166015625,511.4140625
q3_physical_training_coselection_replicated2,544,73.724609375,53.9248046875,120.8857421875,40.0810546875,104.53515625,543.359375
q3_physical_training_coselection_replicated2,576,77.6708984375,56.8828125,127.80859375,43.3837890625,110.6123046875,575.5078125
q3_physical_training_coselection_replicated2,608,81.8525390625,59.9404296875,134.015625,46.6748046875,116.8798828125,607.501953125
q3_physical_training_coselection_replicated2,640,85.9931640625,63.0712890625,140.30859375,50.0087890625,123.0107421875,639.5
q3_physical_training_coselection_replicated2,672,90.0029296875,66.298828125,146.5654296875,53.5556640625,129.19921875,671.484375
q3_physical_training_coselection_replicated2,704,94.171875,69.546875,152.5546875,56.634765625,135.4130859375,703.318359375
q3_physical_training_coselection_replicated2,736,98.064453125,72.58984375,159.05859375,60.3740234375,141.41015625,735.408203125
q3_physical_training_coselection_replicated2,768,102.3828125,76.0,165.0244140625,63.95703125,147.4794921875,767.46875
q3_physical_training_coselection_replicated2,800,106.4169921875,79.072265625,171.7568359375,67.6865234375,153.2607421875,799.47265625
q3_physical_training_coselection_replicated2,832,110.6123046875,82.375,178.005859375,71.30078125,159.1494140625,831.359375
q3_physical_training_coselection_replicated2,864,114.6904296875,85.6865234375,184.3544921875,75.11328125,165.005859375,863.46875
q3_physical_training_coselection_replicated2,896,118.8193359375,89.046875,190.2705078125,79.2626953125,170.8740234375,895.375
q3_physical_training_coselection_replicated2,928,122.96875,92.4267578125,196.3681640625,83.4091796875,176.66015625,927.359375
q3_physical_training_coselection_replicated2,960,127.064453125,95.8623046875,202.0166015625,87.7392578125,182.484375,959.197265625
q3_physical_training_coselection_replicated2,992,131.2099609375,99.2802734375,207.7001953125,91.9306640625,188.400390625,991.14453125
q3_physical_training_coselection_replicated2,1024,135.4912109375,102.8828125,213.142578125,96.2763671875,194.3671875,1023.337890625
q3_physical_training_coselection_replicated2,1056,139.630859375,106.5380859375,219.046875,100.8583984375,200.0673828125,1055.28515625
q3_physical_training_coselection_replicated2,1088,144.0546875,110.0810546875,224.4775390625,105.1318359375,205.775390625,1087.259765625
q3_physical_training_coselection_replicated2,1120,148.3310546875,113.908203125,229.48828125,109.525390625,211.71875,1119.27734375
q3_physical_training_coselection_replicated2,1152,152.4736328125,117.404296875,235.4169921875,114.22265625,217.25390625,1151.259765625
q3_physical_training_coselection_replicated2,1184,156.53125,121.181640625,241.01953125,119.203125,222.8876953125,1183.302734375
q3_physical_training_coselection_replicated2,1216,160.8935546875,125.0380859375,246.2666015625,124.140625,228.4384765625,1215.234375
q3_physical_training_coselection_replicated2,1248,165.3642578125,128.8740234375,251.4404296875,128.7294921875,234.0400390625,1247.17578125
q3_physical_training_coselection_replicated2,1280,169.8486328125,132.9462890625,256.5,133.56640625,239.5224609375,1279.05859375
q3_physical_training_coselection_replicated2,1312,174.37890625,136.9130859375,261.353515625,138.1513671875,245.2216796875,1311.177734375
q3_physical_training_coselection_replicated2,1344,179.1591796875,141.123046875,266.087890625,142.986328125,250.5224609375,1342.775390625
q3_physical_training_coselection_replicated2,1376,183.67578125,145.26171875,270.84375,148.1826171875,255.90625,1374.3125
q3_physical_training_coselection_replicated2,1408,188.4619140625,149.591796875,275.125,153.1591796875,261.0439453125,1405.265625
q3_physical_training_coselection_replicated2,1440,192.779296875,153.4228515625,279.5185546875,157.6767578125,266.4521484375,1435.90625
q3_physical_training_coselection_replicated2,1472,197.5029296875,157.58203125,283.9296875,162.494140625,271.3212890625,1465.96484375
q3_physical_training_coselection_replicated2,1504,201.673828125,161.271484375,288.0517578125,166.9697265625,276.1982421875,1494.615234375
q3_physical_training_coselection_replicated2,1506,202.162109375,161.7109375,288.1240234375,167.25,276.3876953125,1496.474609375
q3_physical_training_coselection_replicated2,1507,202.2265625,161.7646484375,288.3466796875,167.4794921875,276.5625,1497.48828125
q3_physical_training_coselection_replicated2,1536,206.1240234375,164.9501953125,292.1103515625,171.169921875,280.6708984375,1522.779296875
q3_physical_training_coselection_replicated2,1568,210.060546875,168.4287109375,295.853515625,175.5947265625,285.087890625,1549.4296875
q3_physical_training_coselection_replicated2,1600,213.6650390625,171.5107421875,299.658203125,179.67578125,289.3203125,1574.859375
q3_physical_training_coselection_replicated2,1632,217.55078125,174.8427734375,303.4150390625,183.939453125,293.3994140625,1600.310546875
q3_physical_training_coselection_replicated2,1664,221.423828125,178.1552734375,306.7890625,188.3271484375,297.2373046875,1625.16796875
q3_physical_training_coselection_single,384,52.0908203125,41.220703125,82.8193359375,26.0,74.9453125,383.314453125
q3_physical_training_coselection_single,416,55.814453125,44.2041015625,90.7080078125,29.0283203125,80.9970703125,415.322265625
q3_physical_training_coselection_single,448,59.744140625,47.41015625,98.3994140625,32.0712890625,86.91015625,447.40234375
q3_physical_training_coselection_single,480,63.5947265625,50.42578125,105.8251953125,35.025390625,93.01171875,479.37109375
q3_physical_training_coselection_single,512,67.6455078125,53.638671875,112.681640625,38.2119140625,99.0576171875,511.341796875
q3_physical_training_coselection_single,544,71.3388671875,56.6298828125,120.4736328125,41.3359375,105.0703125,543.38671875
q3_physical_training_coselection_single,576,75.30078125,59.81640625,127.3828125,44.5654296875,111.1650390625,575.48828125
q3_physical_training_coselection_single,608,79.3095703125,62.94921875,133.4482421875,47.9052734375,117.51953125,607.423828125
q3_physical_training_coselection_single,640,83.3466796875,66.236328125,139.6875,51.1953125,123.8173828125,639.45703125
q3_physical_training_coselection_single,672,87.4140625,69.4892578125,145.783203125,54.63671875,129.9990234375,671.40625
