layout_method,page_size,paired_planes,budget_bpw,recovery_count,recovery_mean,recovery_p10,recovery_p25,recovery_median,recovery_p75,recovery_p90,median_physical_bpw,median_logical_bpw,median_amplification
importance_1rep,1024,False,0.5,12,0.7097609674360851,0.5452393553274493,0.6203349150580169,0.7393876838477175,0.7861983609542207,0.8702189073000265,0.5,0.5,1.0
importance_1rep,1024,False,0.75,12,0.8159460578948415,0.6745255327576299,0.7654875053970303,0.8444007057026715,0.8815422188143098,0.9217352264897166,0.75,0.75,1.0
importance_1rep,1024,False,1.0,12,0.888126444756769,0.8146043931672217,0.8484915730759386,0.9189791066407504,0.9347543883819671,0.9495663502453903,1.0,1.0,1.0
importance_1rep,1024,False,1.25,12,0.9349745115760753,0.8857615486017544,0.9120794111409283,0.9551084191441805,0.9669366681349167,0.9768791139169856,1.25,1.25,1.0
importance_1rep,1024,False,1.5,12,0.968249155128094,0.945037038954966,0.9559314175754992,0.9763545991855731,0.9861034128114509,0.9922876934335745,1.5,1.5,1.0
importance_1rep,1024,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
importance_1rep,4096,False,0.25,12,0.5193625420488086,0.38207218285002076,0.4359468410396241,0.5365144244173311,0.6425983197130621,0.6685156277133746,0.25,0.25,1.0
importance_1rep,4096,False,0.5,12,0.6855773961284845,0.5119613348472281,0.5993835259996594,0.7182720551490924,0.8022182484026035,0.8336819838626154,0.5,0.5,1.0
importance_1rep,4096,False,0.75,12,0.7963897246186605,0.6594945691601658,0.7381153512862242,0.8213163192421378,0.8891564451050925,0.9045773921922059,0.75,0.75,1.0
importance_1rep,4096,False,1.0,12,0.8610816331794554,0.724223416943845,0.8233487887051351,0.8965888909843647,0.9247190250530314,0.9499159775173729,1.0,1.0,1.0
importance_1rep,4096,False,1.25,12,0.911593939951353,0.8003703664257537,0.8868390337006684,0.9391761891336854,0.9595171285998134,0.96154059097843,1.25,1.25,1.0
importance_1rep,4096,False,1.5,12,0.9536899826878834,0.9013230166701071,0.942941824107573,0.9657117954491043,0.9816826407769982,0.986360865475684,1.5,1.5,1.0
importance_1rep,4096,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
naive_1rep,512,False,0.25,12,0.524018491345701,0.3894996346732061,0.4202682353199352,0.5318777814809471,0.6061500465882927,0.6617800404638453,0.25,0.25,1.0
naive_1rep,512,False,0.5,12,0.7089947903167394,0.5645867288253994,0.6114057714956616,0.7180371630495261,0.7838765797208866,0.8390929727271262,0.5,0.5,1.0
naive_1rep,512,False,0.75,12,0.8221652264893938,0.7204431155230179,0.7689726092746354,0.8067081145615433,0.9083442886510854,0.9193339932257654,0.75,0.75,1.0
naive_1rep,512,False,1.0,12,0.8850817744159998,0.8194320563953024,0.8343991451061311,0.8829995078111179,0.9525611145756994,0.962328371091802,1.0,1.0,1.0
naive_1rep,512,False,1.25,12,0.9359580928065397,0.9001746905508342,0.9016178967804493,0.9387353871288125,0.9717178424781379,0.9822223034698584,1.25,1.25,1.0
naive_1rep,512,False,1.5,12,0.9729391986487732,0.944035557041388,0.9606048732667096,0.9784997344767765,0.9909758382803774,0.9930510851936017,1.5,1.5,1.0
naive_1rep,512,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
naive_1rep,1024,False,0.25,12,0.4678277038795396,0.354253170778663,0.36667995755977334,0.4747343437076369,0.5366484922387721,0.5765708029000058,0.25,0.25,1.0
naive_1rep,1024,False,0.5,12,0.6469059624688935,0.5175321716322998,0.5418964029457556,0.6408115052314268,0.7283224036698646,0.7553658161656271,0.5,0.5,1.0
naive_1rep,1024,False,0.75,12,0.7555351523485426,0.6531243972908366,0.6580178616563963,0.7468054558483554,0.8311542875783574,0.869049759933125,0.75,0.75,1.0
naive_1rep,1024,False,1.0,12,0.8521319475646245,0.7547985592522259,0.804585452377095,0.8536320095312225,0.9116841852078843,0.9385198915365229,1.0,1.0,1.0
naive_1rep,1024,False,1.25,12,0.9136832989330426,0.8657422571214787,0.881959101347532,0.9120410232005882,0.9613360866194036,0.9660372672457801,1.25,1.25,1.0
naive_1rep,1024,False,1.5,12,0.9586208640889469,0.9340449157813232,0.9465260897276327,0.9560121783015009,0.9813968908246381,0.9834205518494252,1.5,1.5,1.0
naive_1rep,1024,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
naive_1rep,4096,False,0.25,12,0.39498043887315065,0.28304009685062514,0.3230038911253352,0.39308190292636236,0.41787630915763835,0.5744989240986244,0.25,0.25,1.0
naive_1rep,4096,False,0.5,12,0.5721847100477402,0.4647790123995125,0.4795554171622481,0.5408630127728284,0.6438847158757584,0.7121419285431948,0.5,0.5,1.0
