source_run_mode,capture_source,evaluation_split,layer,projection,selection_category,selection_regime,score_method,shortlist_size,refresh_block,physical_budget_bpw,n,p10_exact_gain_retained_matched_fetched_pages,median_exact_gain_retained_matched_fetched_pages,p90_exact_gain_retained_matched_fetched_pages,median_fetched_pages,median_logical_actions,median_logical_bytes,p90_candidate_overfetch
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,384,1,0.5,1,0.9215007768873624,0.9215007768873624,0.9215007768873624,288.0,1251.0,80064.0,2.25
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,384,1,0.75,1,0.9215007768873624,0.9215007768873624,0.9215007768873624,288.0,1251.0,80064.0,1.5
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,384,1,1.0,1,0.9215007768873624,0.9215007768873624,0.9215007768873624,288.0,1251.0,80064.0,1.125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,512,1,0.25,1,0.9608991655341631,0.9608991655341631,0.9608991655341631,349.0,1008.0,64512.0,5.453125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,512,1,0.5,1,0.9608991655341631,0.9608991655341631,0.9608991655341631,349.0,1008.0,64512.0,2.7265625
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,512,1,0.75,1,0.9608991655341631,0.9608991655341631,0.9608991655341631,349.0,1008.0,64512.0,1.8177083333333333
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,512,1,1.0,1,0.9608991655341631,0.9608991655341631,0.9608991655341631,349.0,1008.0,64512.0,1.36328125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,768,1,0.25,1,0.9850658090952014,0.9850658090952014,0.9850658090952014,442.0,1146.0,73344.0,6.90625
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,768,1,0.5,1,0.9850658090952014,0.9850658090952014,0.9850658090952014,442.0,1146.0,73344.0,3.453125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,768,1,0.75,1,0.9850658090952014,0.9850658090952014,0.9850658090952014,442.0,1146.0,73344.0,2.3020833333333335
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,768,1,1.0,1,0.9850658090952014,0.9850658090952014,0.9850658090952014,442.0,1146.0,73344.0,1.7265625
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,0.25,1,1.0053287417049954,1.0053287417049954,1.0053287417049954,479.0,1360.0,87040.0,7.484375
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,0.5,1,1.0053287417049954,1.0053287417049954,1.0053287417049954,479.0,1360.0,87040.0,3.7421875
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,0.75,1,1.0053287417049954,1.0053287417049954,1.0053287417049954,479.0,1360.0,87040.0,2.4947916666666665
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,1.0,1,1.0053287417049954,1.0053287417049954,1.0053287417049954,479.0,1360.0,87040.0,1.87109375
