layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q3_ideal_logical_256_byte_plane_ceiling,1088,167.91015625,100.4853515625,219.681640625,110.3779296875,244.5361328125,1087.52734375
q3_ideal_logical_256_byte_plane_ceiling,1120,172.556640625,104.3232421875,225.2021484375,115.447265625,250.99609375,1119.521484375
q3_ideal_logical_256_byte_plane_ceiling,1152,177.3671875,108.30078125,230.6611328125,120.439453125,257.388671875,1151.5458984375
q3_ideal_logical_256_byte_plane_ceiling,1184,182.2568359375,112.5703125,236.0498046875,125.7099609375,263.484375,1183.5556640625
q3_ideal_logical_256_byte_plane_ceiling,1216,186.9921875,116.7783203125,241.38671875,131.1708984375,269.5810546875,1215.490234375
q3_ideal_logical_256_byte_plane_ceiling,1248,191.626953125,121.1044921875,246.7763671875,136.515625,275.7421875,1247.5078125
q3_ideal_logical_256_byte_plane_ceiling,1280,196.271484375,125.578125,251.990234375,142.1171875,281.7763671875,1279.509765625
q3_ideal_logical_256_byte_plane_ceiling,1284,196.8564453125,126.1728515625,252.580078125,142.787109375,282.548828125,1283.494140625
q3_ideal_logical_256_byte_plane_ceiling,1288,197.556640625,126.7822265625,253.3408203125,143.6240234375,283.109375,1287.5224609375
q3_ideal_logical_256_byte_plane_ceiling,1292,198.1708984375,127.3046875,253.935546875,144.2353515625,283.9111328125,1291.46875
q3_ideal_logical_256_byte_plane_ceiling,1296,198.75,127.9716796875,254.62890625,144.9140625,284.607421875,1295.4794921875
q3_ideal_logical_256_byte_plane_ceiling,1300,199.30078125,128.4580078125,255.158203125,145.5751953125,285.4833984375,1299.458984375
q3_ideal_logical_256_byte_plane_ceiling,1304,199.9541015625,129.107421875,255.765625,146.1640625,286.2431640625,1303.4775390625
q3_ideal_logical_256_byte_plane_ceiling,1308,200.55859375,129.75390625,256.396484375,147.0009765625,286.9150390625,1307.5400390625
q3_ideal_logical_256_byte_plane_ceiling,1312,201.078125,130.341796875,257.06640625,147.90234375,287.5234375,1311.435546875
