candidate,design,split,level,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,mean_damage,median_damage,p90_damage
B16_g32_global_functional_eps_0p0025,B,test,2,152,-0.15121552837957916,0.3173572162385565,0.6542323806878481,0.4005088418722153,0.4888274818658829,0.5668127834796906,0.04044285863637924,4.5994064794412175,0.24714887887239456,16.00867404937744
B16_g32_global_functional_eps_0p0025,B,test,3,152,0.5760902426206019,0.7558276085921943,0.8829348635181297,0.23795457929372787,0.2813369035720825,0.32747323513031007,0.013147663604468108,1.5678879388019835,0.09938375279307365,5.888012266159059
B16_g32_global_functional_eps_0p0025,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p0025,B,train,2,258,-0.1003266641326975,0.3072880653612842,0.6726640522055795,0.37650543451309204,0.46635621786117554,0.5513840973377228,0.05104326717555523,4.886357371168312,0.2342551276087761,17.866422080993654
B16_g32_global_functional_eps_0p0025,B,train,3,258,0.5606196205227911,0.7615525578522179,0.8771448504276599,0.21925585269927977,0.2742638736963272,0.32564793825149535,0.015539368987083439,1.3948482997984402,0.0945470854640007,5.154851722717286
B16_g32_global_functional_eps_0p0025,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p0025,B,validation,2,135,-0.07723160615001956,0.2545684986676159,0.5973399417788059,0.40505550503730775,0.492564857006073,0.5709331870079041,0.053917255252599716,6.379988620761368,0.22689597308635712,20.707951354980512
B16_g32_global_functional_eps_0p0025,B,validation,3,135,0.6015222055545969,0.7730654363292463,0.879056780196515,0.2334882438182831,0.2835669219493866,0.32481163144111636,0.015299194678664208,1.5627244990629454,0.08404270559549332,5.061596107482911
B16_g32_global_functional_eps_0p0025,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p01,B,test,2,152,-0.16231452451179784,0.3137283087447801,0.6303826293739321,0.3986602872610092,0.48464369773864746,0.5695906579494476,0.03998844772577286,5.049410700589712,0.22343305498361588,17.340228748321547
