candidate,design,objective,sharing,projection,split,level,count,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,median_damage,p90_damage,summed_damage,median_own_recovery
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,train,2,258,0.25636009871959686,0.31596042215824127,0.3544323265552521,0.01858473252505064,0.08539262786507607,7.617499971389774,556.4716861341149,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,train,3,258,0.15213221609592437,0.18080787360668182,0.19546787440776825,0.005987630272284151,0.03576800227165222,2.5957115411758425,189.43602931965142,0.65553879737854
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,validation,2,135,0.29265188574790957,0.34420278668403625,0.37424102425575256,0.0230317547917366,0.11323344707489014,9.236459732055666,352.99053002521396,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,validation,3,135,0.1620865911245346,0.18940627574920654,0.20398474037647246,0.007283638790249824,0.03562203049659729,2.534248304367069,105.37700139475055,0.6849565505981445
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,test,2,152,0.1413114622235298,0.2248421087861061,0.28271412551403047,1.5234719753265382,10.292193412780762,123.38431320190429,5629.692538380623,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,test,3,152,0.04623577855527401,0.12399664521217346,0.1560271143913269,0.43681894838809965,3.0295939445495605,13.119999408721924,908.7304223775864,0.7203659415245056
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,train,2,258,0.1411554753780365,0.22157253324985504,0.2827164351940155,1.5418954253196717,10.410934448242188,117.56482238769532,9160.916041612625,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,train,3,258,0.04512145034968853,0.1229088045656681,0.1581163540482521,0.45657624006271363,3.1999764442443848,12.570954895019531,1525.4134660959244,0.7107895910739899
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,validation,2,135,0.14166631996631623,0.22400319576263428,0.28226772546768186,1.5505742311477662,9.772445678710938,119.5826293945313,4794.246215641499,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,validation,3,135,0.04648954346776009,0.12588410079479218,0.1554218828678131,0.46536415815353394,2.999058961868286,12.764171600341797,821.940296292305,0.7234483957290649
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,gate,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,test,2,152,0.1695272758603096,0.2906957268714905,0.36922564506530764,1.5795138955116272,8.902572631835938,33.297457504272465,2102.8404228687286,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,test,3,152,0.08954166173934937,0.15851404517889023,0.2040726825594902,0.4407949328422546,2.7514824867248535,9.869538974761964,610.2562080025673,0.7010133266448975
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,train,2,258,0.1654845342040062,0.28137174248695374,0.35921514928340914,1.4644611358642579,8.991754055023193,35.26009101867676,3550.6190618276596,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,train,3,258,0.08707112967967987,0.15690124034881592,0.2010103315114975,0.4521584272384644,2.8472084999084473,9.369268417358398,1022.3880486190319,0.6998749375343323
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,validation,2,135,0.16066281795501708,0.29788780212402344,0.3655884683132172,1.4902804136276244,8.580009460449219,39.66509399414063,2027.4396142959595,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,validation,3,135,0.08522827476263047,0.1628326177597046,0.20196170806884767,0.4437071025371552,2.6806373596191406,9.913740730285644,566.1094434857368,0.7003622055053711
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,up,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,test,2,152,0.2920883625745773,0.3304850906133652,0.36560750007629395,0.018854312598705292,0.10045057535171509,6.624891710281373,302.4581211078912,0.0
B16_g32_expert_functional,B,expert_functional_proxy,expert_projection,down,test,3,152,0.1621009260416031,0.18657589703798294,0.20178852826356888,0.006096276314929127,0.03322601690888405,2.319020462036134,103.25370607851073,0.6643820106983185
