candidate,design,level,stratification,stratum,count,p10_relative_error,median_relative_error,p90_relative_error,summed_damage,median_own_recovery
B16_g32_global_functional_eps_0p0025,B,3,block_scale_bin,median,163,0.13351548016071318,0.18012534081935883,0.21173178851604463,203.76004479033872,0.6817573308944702
B16_g32_global_functional_eps_0p0025,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p0025,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p0025,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p01,B,2,block_scale_bin,high,152,0.13342146575450897,0.1902938112616539,0.3333453357219696,6096.681853324175,0.0
B16_g32_global_functional_eps_0p01,B,2,block_scale_bin,low,141,0.24444256722927094,0.2982158362865448,0.3728618621826172,580.4011496054009,0.0
B16_g32_global_functional_eps_0p01,B,2,block_scale_bin,median,163,0.23146671652793885,0.31497278809547424,0.36156302094459536,626.5206479467452,0.0
B16_g32_global_functional_eps_0p01,B,3,block_scale_bin,high,152,0.04324823208153248,0.09994162246584892,0.19810961037874222,1211.3125803619623,0.7176036834716797
B16_g32_global_functional_eps_0p01,B,3,block_scale_bin,low,141,0.1352042257785797,0.16751591861248016,0.20685279369354248,183.96639132406563,0.692183256149292
B16_g32_global_functional_eps_0p01,B,3,block_scale_bin,median,163,0.1291509449481964,0.1804114580154419,0.21165128350257875,200.02503822604194,0.6870540380477905
B16_g32_global_functional_eps_0p01,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p01,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p01,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p02,B,2,block_scale_bin,high,152,0.13204032331705093,0.1905016452074051,0.3334101915359497,5979.515456140041,0.0
B16_g32_global_functional_eps_0p02,B,2,block_scale_bin,low,141,0.24473774433135986,0.30225640535354614,0.3769538998603821,593.4336372027174,0.0
B16_g32_global_functional_eps_0p02,B,2,block_scale_bin,median,163,0.23797478675842285,0.31548765301704407,0.36034170389175413,626.071106175892,0.0
B16_g32_global_functional_eps_0p02,B,3,block_scale_bin,high,152,0.04261128455400467,0.09976623952388763,0.19579349756240846,1209.7978551387787,0.724299430847168
B16_g32_global_functional_eps_0p02,B,3,block_scale_bin,low,141,0.12718366086483002,0.16651912033557892,0.20490434765815735,180.70621276507154,0.6983131170272827
B16_g32_global_functional_eps_0p02,B,3,block_scale_bin,median,163,0.1314125657081604,0.1814214140176773,0.21008060574531556,201.78659637831151,0.6860151290893555
B16_g32_global_functional_eps_0p02,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p02,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p02,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p05,B,2,block_scale_bin,high,152,0.139455184340477,0.19292335957288742,0.3316582262516022,6306.601831257343,0.0
B16_g32_global_functional_eps_0p05,B,2,block_scale_bin,low,141,0.2430170178413391,0.2986162304878235,0.37165722250938416,584.3310913192108,0.0
B16_g32_global_functional_eps_0p05,B,2,block_scale_bin,median,163,0.2350180596113205,0.31769269704818726,0.3627982079982758,627.9073590543121,0.0
B16_g32_global_functional_eps_0p05,B,3,block_scale_bin,high,152,0.04230253845453262,0.09797335788607597,0.19419137239456177,1170.3221517428756,0.7365796267986298
B16_g32_global_functional_eps_0p05,B,3,block_scale_bin,low,141,0.123092882335186,0.16244825720787048,0.20190754532814026,174.22921035112813,0.7027952075004578
B16_g32_global_functional_eps_0p05,B,3,block_scale_bin,median,163,0.1251961886882782,0.17916043102741241,0.20761965215206146,192.42523559136316,0.7017662525177002
B16_g32_global_functional_eps_0p05,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p05,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p05,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_weight,B,2,block_scale_bin,high,152,0.17068976610898973,0.2385934516787529,0.34308660030364996,13914.206948131323,0.0
B16_g32_global_weight,B,2,block_scale_bin,low,141,0.2666947543621063,0.3308228850364685,0.38390257954597473,699.2308730194345,0.0
B16_g32_global_weight,B,2,block_scale_bin,median,163,0.25488519072532656,0.3353881537914276,0.36421218514442444,735.3399445451796,0.0
B16_g32_global_weight,B,3,block_scale_bin,high,152,0.07589834108948708,0.102726299315691,0.18789207190275192,1958.1287552081048,0.7375946938991547
B16_g32_global_weight,B,3,block_scale_bin,low,141,0.1393173336982727,0.17690777778625488,0.20931121706962585,206.2544212511275,0.7100163102149963
B16_g32_global_weight,B,3,block_scale_bin,median,163,0.1310527503490448,0.1851232796907425,0.19888219535350798,216.15118419239298,0.7112404108047485
B16_g32_global_weight,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_weight,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_weight,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_layer_functional,B,2,block_scale_bin,high,152,0.12209304869174957,0.19158214330673218,0.333280485868454,5672.504738301039,0.0
B16_g32_layer_functional,B,2,block_scale_bin,low,141,0.23857556283473969,0.29433202743530273,0.3718411922454834,574.0000164955854,0.0
B16_g32_layer_functional,B,2,block_scale_bin,median,163,0.22995229959487914,0.3152213394641876,0.35832756757736206,610.5182548072189,0.0
B16_g32_layer_functional,B,3,block_scale_bin,high,152,0.0430630698800087,0.10157247632741928,0.194614352285862,1221.9950877726078,0.7224785089492798
B16_g32_layer_functional,B,3,block_scale_bin,low,141,0.1257539987564087,0.16503484547138214,0.2106642872095108,182.17972422763705,0.6906783580780029
B16_g32_layer_functional,B,3,block_scale_bin,median,163,0.12292823046445847,0.178943932056427,0.20073551535606385,190.17618993809447,0.6926295757293701
B16_g32_layer_functional,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_layer_functional,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_layer_functional,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
C8_g32_layer_functional,C,2,block_scale_bin,high,152,0.12875469475984574,0.1958419382572174,0.34575650393962865,6159.879752099514,0.0
C8_g32_layer_functional,C,2,block_scale_bin,low,141,0.24259553849697113,0.30477944016456604,0.3739546835422516,595.5309763690457,0.0
C8_g32_layer_functional,C,2,block_scale_bin,median,163,0.23353981971740723,0.3201892673969269,0.3650423467159271,645.2939190752804,0.0
