candidate,design,packet,budget_bpw,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_own_recovery,median_own_recovery,p90_own_recovery,p10_damage,median_damage,p90_damage,median_logical_bpw,median_physical_bpw,median_page_amplification,median_gate_bytes,median_up_bytes,median_down_bytes,median_gate_q2_q3,median_up_q2_q3,median_down_q2_q3,median_gate_q3_q4,median_up_q3_q4,median_down_q3_q4
C8_g32_layer_functional,C,separate,0.5,152,0.7167398856871166,0.8431186744715208,0.9220416068890649,0.6503661564456543,0.7758686151922887,0.8623860508885626,0.007329758908599615,0.06247235834598541,4.020978212356569,0.5,0.5,1.0,32768.0,65536.0,65536.0,488.0,872.0,173.0,128.0,136.0,108.0
C8_g32_layer_functional,C,separate,0.75,152,0.8253757547017334,0.8997423715288315,0.9548872222253123,0.7602945403111405,0.8634986943346519,0.9251008474012011,0.004566931305453182,0.037910096347332,2.449946188926697,0.75,0.75,1.0,98304.0,98304.0,98304.0,1208.0,1224.0,240.0,284.0,276.0,160.0
C8_g32_layer_functional,C,separate,1.0,152,0.8909263932660424,0.9331879612618175,0.9712097936053304,0.8378892716899805,0.9159724404722973,0.9540353749898585,0.003025805926881731,0.02582884207367897,1.4905083656311038,1.0,1.0,1.0,131072.0,131072.0,131072.0,1520.0,1544.0,292.0,528.0,512.0,204.0
C8_g32_layer_functional,C,separate,1.25,152,0.9274299011355056,0.9599431450715157,0.9814667373670041,0.8952927544616917,0.9487789143249544,0.9713069259442539,0.0016660215565934779,0.015343702863901854,0.9671958506107331,1.25,1.25,1.0,163840.0,163840.0,131072.0,1744.0,1796.0,309.0,816.0,832.0,220.0
C8_g32_layer_functional,C,separate,1.5,152,0.9548044322665897,0.978168149400299,0.991605556569015,0.939945828281736,0.9700213661197818,0.9863271125497414,0.0007100201968569308,0.00843103090301156,0.5054181694984436,1.5,1.5,1.0,229376.0,229376.0,163840.0,2004.0,2016.0,358.0,1560.0,1592.0,276.0
C8_g32_layer_functional,C,separate,2.0,152,0.9999999999977077,0.9999999999989735,0.9999999999994422,0.9999999999966653,0.9999999999985472,0.9999999999992241,5.95171603516055e-14,4.1272432520222946e-13,2.1416654734374153e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
D4_g16_layer_functional,D,paired,0.25,152,0.5832036472734282,0.759406538340609,0.8631143695282883,0.48150442195080845,0.6238001474533936,0.7640349795090062,0.011185399815440181,0.09534182399511337,5.899566602706911,0.25,0.25,1.0,32768.0,32768.0,32768.0,256.0,256.0,64.0,256.0,256.0,64.0
D4_g16_layer_functional,D,paired,0.5,152,0.7546306757202824,0.8802665544037296,0.9423102437742205,0.6907952564294317,0.8230352032633077,0.9074250578334708,0.004950510477647186,0.051219260320067406,3.1361332893371583,0.5,0.5,1.0,65536.0,65536.0,65536.0,512.0,512.0,128.0,512.0,512.0,128.0
D4_g16_layer_functional,D,paired,0.75,152,0.8645394394097008,0.9263047288190143,0.9669932405814351,0.8088008312906139,0.8953054619582106,0.9450646003668678,0.0033771109534427523,0.03140631318092346,1.7783104658126834,0.75,0.75,1.0,98304.0,98304.0,98304.0,768.0,768.0,192.0,768.0,768.0,192.0
D4_g16_layer_functional,D,paired,1.0,152,0.9127352542319844,0.9561149804560651,0.9775073173497699,0.8757924271511794,0.9331679548319122,0.967321453586516,0.0020435183541849256,0.018928230740129948,1.058818852901459,1.0,1.0,1.0,131072.0,131072.0,98304.0,1024.0,1024.0,192.0,1024.0,1024.0,192.0
