mean_budget_pages_per_expert,charged_bpw,injection_layer,observation_layer,layer_distance,requests,sequence_tokens,injected_positions,realized_delta_energy_all_tokens,hidden_error_energy_all_tokens,propagation_coefficient_all_tokens,propagation_coefficient_captured_positions,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_churn,route_top1_agreement,route_ordered_top8_agreement,baseline_capture_hidden_mse,baseline_capture_hidden_max_abs,baseline_capture_route_churn
749,0.9987386067708334,23,37,14,3,44,32,0.00037573455652424717,0.08140755716389818,216.66241699183377,185.724808978065,3.974978377143466e-05,0.0007502072328056989,0.0003408143363991105,0.00013296478784944615,0.014204545454545468,0.9090909090909091,0.5227272727272727,7.468451982620391e-05,0.09375,0.002840909090909081
749,0.9987386067708334,23,38,15,3,44,32,0.00037573455652424717,0.11706963888751819,311.57538441626775,265.5457273312724,5.716290961304599e-05,0.0005363395235982963,0.0002534231090851501,0.00012636060943103223,0.014204545454545471,1.0,0.6590909090909091,9.86553684975436e-05,0.1875,0.02272727272727276
749,0.9987386067708334,23,39,16,3,44,32,0.00037573455652424717,0.14718079366403716,391.71481863563747,331.6508847540474,7.186562190626815e-05,0.0006343858295884371,0.0002899143889781928,0.00013871123294690368,0.011363636363636366,0.9772727272727273,0.6818181818181818,0.0001187545879175063,0.1796875,0.011363636363636371
749,0.9987386067708334,24,24,0,3,44,32,0.00029652145641860403,0.00029652145641860403,1.0,1.0,1.447858673918965e-07,1.6415851336539962e-05,1.1289379860390802e-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0
749,0.9987386067708334,24,25,1,3,44,32,0.00029652145641860403,0.0007609593480786068,2.5662876382353543,1.3310098393622798,3.7156218167900723e-07,3.4223523410840034e-05,2.9604601904325616e-06,5.1024192479440086e-05,0.005681818181818162,1.0,0.8863636363636364,1.6302793958649693e-06,0.0185546875,0.002840909090909081
749,0.9987386067708334,24,26,2,3,44,32,0.00029652145641860403,0.000935863920527812,3.156142330579404,1.8982645354007683,4.569648049452207e-07,2.8517926083263686e-05,3.3939607001209904e-06,6.656368867818061e-05,0.002840909090909081,1.0,0.75,1.640510561012382e-06,0.046875,0.011363636363636355
749,0.9987386067708334,24,27,3,3,44,32,0.00029652145641860403,0.003647682551610904,12.301580451100351,5.207956467471714,1.7810949959037616e-06,0.00015285804473779305,1.3501495336308945e-05,8.660892619575961e-05,0.011363636363636366,0.9772727272727273,0.7045454545454546,3.7109095536649117e-06,0.03125,0.008522727272727276
749,0.9987386067708334,24,28,4,3,44,32,0.00029652145641860403,0.0037075284838217408,12.503407101129856,5.810213420673205,1.8103166424910844e-06,0.0001325692567310205,1.345532553121622e-05,9.77496871629472e-05,0.0,1.0,0.8409090909090909,3.613791191181548e-06,0.02734375,0.005681818181818172
749,0.9987386067708334,24,29,5,3,44,32,0.00029652145641860403,0.005318424450458472,17.936052637453557,9.776562666073445,2.596886938700426e-06,0.00018400739020887105,1.8730222095127274e-05,9.324546866896006e-05,0.008522727272727263,1.0,0.7954545454545454,3.349369778254447e-06,0.0390625,0.008522727272727286
749,0.9987386067708334,24,30,6,3,44,32,0.00029652145641860403,0.013048866240503477,44.00648235749317,35.76890307809038,6.371516718995839e-06,0.0003390996929129967,4.109663500321977e-05,9.711070404971684e-05,0.008522727272727276,1.0,0.7272727272727273,5.6791193601539325e-06,0.046875,0.011363636363636343
749,0.9987386067708334,24,31,7,3,44,32,0.00029652145641860403,0.019874669473210815,67.02607532438877,57.692378328333106,9.704428453716218e-06,0.0006065780553336852,0.0002888768667175523,0.00012913627585987096,0.005681818181818162,1.0,0.6590909090909091,1.1633933820551981e-05,0.0390625,0.002840909090909091
749,0.9987386067708334,24,32,8,3,44,32,0.00029652145641860403,0.02334054471787733,78.71452204432421,66.6581044724008,1.139675035052604e-05,0.0006138282106908704,0.0002898069367888697,0.0001388597584022406,0.025568181818181837,1.0,0.6363636363636364,1.7029555556299673e-05,0.0625,0.03409090909090911
749,0.9987386067708334,24,33,9,3,44,32,0.00029652145641860403,0.026191144794045777,88.32799187749613,74.23335274473565,1.2788644918967664e-05,0.0004894091329489063,0.0002324075587061673,0.00013019394871680893,0.008522727272727286,1.0,0.75,1.978070267631567e-05,0.046875,0.014204545454545458
749,0.9987386067708334,24,34,10,3,44,32,0.00029652145641860403,0.03470423591418446,117.03785733870112,98.69974870115085,1.694542769247288e-05,0.00037244358965087877,0.0001501582664362556,0.000134617400518506,0.019886363636363657,0.9772727272727273,0.7727272727272727,3.0056414820607685e-05,0.25,0.017045454545454548
749,0.9987386067708334,24,35,11,3,44,32,0.00029652145641860403,0.07037727072284641,237.3429281403964,167.58628158374188,3.436390172013985e-05,0.000864700272874015,0.0004366992750103327,0.00014959250604559476,0.008522727272727253,0.9772727272727273,0.6363636363636364,4.1165841874695793e-05,0.171875,0.02272727272727274
749,0.9987386067708334,24,36,12,3,44,32,0.00029652145641860403,0.07992882100172044,269.5549319334371,192.01772640027298,3.902774462974631e-05,0.0008594443222196758,0.00043267053720444875,0.00016013963765365192,0.014204545454545452,0.9545454545454546,0.6590909090909091,4.847208403966554e-05,0.125,0.02840909090909092
749,0.9987386067708334,24,37,13,3,44,32,0.00029652145641860403,0.10260001174306539,346.0120997052683,253.23679317238728,5.009766198391865e-05,0.0009236017727367659,0.0004404344627966163,0.00014542869524525865,0.014204545454545458,0.9545454545454546,0.5227272727272727,6.855034449092624e-05,0.09375,0.011363636363636354
749,0.9987386067708334,24,38,14,3,44,32,0.00029652145641860403,0.13938119137310423,470.05431936209567,345.06267358412623,6.805722235014855e-05,0.0006724048239443823,0.00030368247411867823,0.00014603323674187939,0.019886363636363633,1.0,0.6136363636363636,9.030393261740115e-05,0.25,0.01988636363636363
749,0.9987386067708334,24,39,15,3,44,32,0.00029652145641860403,0.1727619537903758,582.6288454029614,427.66408492327554,8.435642274920693e-05,0.0007929197865202055,0.00034260444078162473,0.00014919988543052277,0.017045454545454544,1.0,0.5227272727272727,0.00011361197629029944,0.1875,0.02272727272727274
749,0.9987386067708334,25,25,0,3,44,32,0.0004270582242479034,0.0004270582242479034,1.0,1.0,2.085245235585466e-07,2.1541724524095696e-05,1.6120636942335513e-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0
749,0.9987386067708334,25,26,1,3,44,32,0.0004270582242479034,0.0009761206450052255,2.285685158561883,2.16423461489719,4.7662140869395775e-07,3.728970003439777e-05,3.387991372861226e-06,5.5687436789930055e-05,0.011363636363636371,1.0,0.7727272727272727,1.6025618379797182e-07,0.015625,0.005681818181818162
749,0.9987386067708334,25,27,2,3,44,32,0.0004270582242479034,0.0027825237094392915,6.515560528870793,3.671379088310989,1.358654154999654e-06,0.00012017293964856767,1.0320338874166632e-05,7.641578673276931e-05,0.017045454545454555,1.0,0.7272727272727273,1.7301845719766815e-06,0.015625,0.008522727272727286
749,0.9987386067708334,25,28,3,3,44,32,0.0004270582242479034,0.0031773697577260796,7.440132462784852,4.605676600368402,1.5514500770146873e-06,0.00012077074601093582,1.1445966639052971e-05,8.448344891972271e-05,0.0,1.0,0.9090909090909091,1.8716477258948963e-06,0.0234375,0.005681818181818172
