layer,expert_id,projection,bits,relative_atom_mse,observed_master_prefix_levels
39,28,down,16,2.569204404778702e-09,43534
39,37,gate,2,2.2231926918029785,4
39,37,gate,4,0.1183413714170456,16
39,37,gate,8,0.00046290975296869874,256
39,37,gate,16,1.7479225844496682e-09,56949
39,37,up,2,1.2564222812652588,4
39,37,up,4,0.0768941193819046,16
39,37,up,8,0.0003012738307006657,256
39,37,up,16,1.1255608667326555e-09,57506
39,37,down,2,3.121218681335449,4
39,37,down,4,0.18466006219387054,16
39,37,down,8,0.0007172736804932356,256
39,37,down,16,2.7518514134072802e-09,42678
39,43,gate,2,1.250711441040039,4
39,43,gate,4,0.0750632956624031,16
39,43,gate,8,0.0002957626711577177,256
39,43,gate,16,1.1351745099474897e-09,56462
39,43,up,2,0.9883354306221008,4
39,43,up,4,0.06108711659908295,16
39,43,up,8,0.00024212537391576916,256
39,43,up,16,9.062557371208868e-10,57752
39,43,down,2,2.798273801803589,4
39,43,down,4,0.16860805451869965,16
39,43,down,8,0.0006552283884957433,256
39,43,down,16,2.515480046483276e-09,43442
39,55,gate,2,1.142783284187317,4
39,55,gate,4,0.06947049498558044,16
39,55,gate,8,0.0002757723559625447,256
39,55,gate,16,1.0458870436380607e-09,57675
39,55,up,2,1.111275315284729,4
39,55,up,4,0.0689849704504013,16
39,55,up,8,0.0002659154124557972,256
39,55,up,16,1.0245172488154708e-09,58385
39,55,down,2,2.9130682945251465,4
39,55,down,4,0.17542240023612976,16
39,55,down,8,0.0006710067391395569,256
39,55,down,16,2.5837105788184545e-09,42886
39,70,gate,2,0.9364265203475952,4
39,70,gate,4,0.05780010670423508,16
39,70,gate,8,0.0002227520162705332,256
39,70,gate,16,8.451455091318394e-10,57168
39,70,up,2,0.8331559300422668,4
39,70,up,4,0.05368209257721901,16
39,70,up,8,0.0002095060481224209,256
39,70,up,16,7.98405286328574e-10,57654
39,70,down,2,3.174484968185425,4
39,70,down,4,0.1861528903245926,16
39,70,down,8,0.0007158375810831785,256
39,70,down,16,2.7518203271625907e-09,43448
39,119,gate,2,0.9375130534172058,4
39,119,gate,4,0.05615709722042084,16
39,119,gate,8,0.00022282502322923392,256
39,119,gate,16,8.633561643378584e-10,56985
39,119,up,2,0.8176032304763794,4
39,119,up,4,0.049552977085113525,16
39,119,up,8,0.00019505817908793688,256
39,119,up,16,7.632357523768007e-10,57864
39,119,down,2,3.333421230316162,4
39,119,down,4,0.19325140118598938,16
39,119,down,8,0.000744232558645308,256
39,119,down,16,2.850836011702995e-09,43784
39,147,gate,2,0.9191924333572388,4
39,147,gate,4,0.05713033303618431,16
39,147,gate,8,0.00021923932945355773,256
39,147,gate,16,8.462767708827812e-10,57106
39,147,up,2,0.8825662136077881,4
39,147,up,4,0.05406066030263901,16
39,147,up,8,0.00021286627452354878,256
39,147,up,16,8.056215694551838e-10,57874
39,147,down,2,2.607123374938965,4
39,147,down,4,0.1602117121219635,16
39,147,down,8,0.0006224928074516356,256
39,147,down,16,2.3816983940605496e-09,43072
39,153,gate,2,1.037907361984253,4
39,153,gate,4,0.06288405507802963,16
39,153,gate,8,0.00024401347036473453,256
39,153,gate,16,9.501008868539884e-10,56943
39,153,up,2,0.9582564234733582,4
39,153,up,4,0.059369225054979324,16
39,153,up,8,0.0002288714749738574,256
39,153,up,16,8.859373235026169e-10,57476
39,153,down,2,4.043698310852051,4
39,153,down,4,0.22642533481121063,16
39,153,down,8,0.0008808484417386353,256
39,153,down,16,3.3799392173960996e-09,43537
39,189,gate,2,1.0301858186721802,4
39,189,gate,4,0.06339123100042343,16
39,189,gate,8,0.00024925690377131104,256
39,189,gate,16,9.75626912591565e-10,56873
39,189,up,2,0.974446713924408,4
39,189,up,4,0.061187468469142914,16
39,189,up,8,0.00024162531190086156,256
39,189,up,16,9.035406312030148e-10,57752
39,189,down,2,4.239389419555664,4
39,189,down,4,0.2418031543493271,16
39,189,down,8,0.0009372122003696859,256
39,189,down,16,3.589715857899023e-09,40107
39,193,gate,2,0.9326934218406677,4
39,193,gate,4,0.058179378509521484,16
39,193,gate,8,0.0002283043140778318,256
39,193,gate,16,8.755178804165098e-10,58470
39,193,up,2,1.0428913831710815,4
39,193,up,4,0.06563086807727814,16
39,193,up,8,0.0002511062193661928,256
39,193,up,16,9.805636302928633e-10,58208
39,193,down,2,3.1373157501220703,4
39,193,down,4,0.18555966019630432,16
39,193,down,8,0.0007207239395938814,256
39,193,down,16,2.7718125572562258e-09,42830
39,235,gate,2,0.8468055725097656,4
39,235,gate,4,0.052230559289455414,16
39,235,gate,8,0.0002066893212031573,256
39,235,gate,16,7.895623044262834e-10,58418
39,235,up,2,0.8640502691268921,4
39,235,up,4,0.05412524193525314,16
39,235,up,8,0.00020864862017333508,256
39,235,up,16,8.081036950713383e-10,58286
39,235,down,2,3.0675387382507324,4
39,235,down,4,0.1828807294368744,16
39,235,down,8,0.0007022491190582514,256
39,235,down,16,2.6860627055924624e-09,43077
