resident_base,layer,projection,budget_bpw,invocations,recovery_median,relative_output_error_median,base_damage_median
Q2 (2.250488 resident bpw),39,down,0.75,153,0.49327963559699795,0.2888941466808319,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,1.0,153,0.5461922585722976,0.27176788449287415,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,1.25,153,0.5757507949730654,0.2647307813167572,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,1.5,153,0.6085288275498855,0.2526969909667969,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,2.0,153,0.6784181692716873,0.22840091586112976,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,2.5,153,0.731319068067147,0.21190163493156433,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,3.0,153,0.7672212711267486,0.19113066792488098,2.9246792889019972
Q2 (2.250488 resident bpw),39,down,4.0,153,0.8885010762531185,0.12160863727331161,2.9246792889019972
Q2 (2.250488 resident bpw),39,gate,0.0,153,0.0,0.20433567464351654,44.484950011436
Q2 (2.250488 resident bpw),39,gate,0.05,153,0.45038318215303774,0.14860595762729645,44.484950011436
Q2 (2.250488 resident bpw),39,gate,0.1,153,0.5032089609300153,0.14329878985881805,44.484950011436
Q2 (2.250488 resident bpw),39,gate,0.2,153,0.5304172813761645,0.13737231492996216,44.484950011436
Q2 (2.250488 resident bpw),39,gate,0.3,153,0.5549136950300357,0.1336032748222351,44.484950011436
Q2 (2.250488 resident bpw),39,gate,0.5,153,0.5855541845675576,0.12925085425376892,44.484950011436
Q2 (2.250488 resident bpw),39,gate,0.75,153,0.6189416768495732,0.1251477599143982,44.484950011436
Q2 (2.250488 resident bpw),39,gate,1.0,153,0.6377884305421309,0.12100640684366226,44.484950011436
Q2 (2.250488 resident bpw),39,gate,1.25,153,0.6547307348537891,0.1182149276137352,44.484950011436
Q2 (2.250488 resident bpw),39,gate,1.5,153,0.6723046683557041,0.1153448298573494,44.484950011436
Q2 (2.250488 resident bpw),39,gate,2.0,153,0.7082065848566288,0.10821406543254852,44.484950011436
Q2 (2.250488 resident bpw),39,gate,2.5,153,0.7548319197544681,0.10041677951812744,44.484950011436
Q2 (2.250488 resident bpw),39,gate,3.0,153,0.7735307357707785,0.09538811445236206,44.484950011436
Q2 (2.250488 resident bpw),39,gate,4.0,153,0.8676788675375814,0.07447543740272522,44.484950011436
Q2 (2.250488 resident bpw),39,up,0.0,153,0.0,0.2658870220184326,32.591814716652564
Q2 (2.250488 resident bpw),39,up,0.05,153,0.3556064994903835,0.21424202620983124,32.591814716652564
Q2 (2.250488 resident bpw),39,up,0.1,153,0.40796100040237115,0.2058393806219101,32.591814716652564
Q2 (2.250488 resident bpw),39,up,0.2,153,0.45184197126025316,0.19731317460536957,32.591814716652564
Q2 (2.250488 resident bpw),39,up,0.3,153,0.4795554925302211,0.1893773376941681,32.591814716652564
Q2 (2.250488 resident bpw),39,up,0.5,153,0.5156556509794055,0.18294496834278107,32.591814716652564
Q2 (2.250488 resident bpw),39,up,0.75,153,0.5580918793846693,0.1746031492948532,32.591814716652564
Q2 (2.250488 resident bpw),39,up,1.0,153,0.5827964125435741,0.17010092735290527,32.591814716652564
Q2 (2.250488 resident bpw),39,up,1.25,153,0.5989741871676106,0.16484518349170685,32.591814716652564
Q2 (2.250488 resident bpw),39,up,1.5,153,0.6176169159371374,0.1582629233598709,32.591814716652564
Q2 (2.250488 resident bpw),39,up,2.0,153,0.6580721162478694,0.1529519259929657,32.591814716652564
Q2 (2.250488 resident bpw),39,up,2.5,153,0.71595594184355,0.13892319798469543,32.591814716652564
Q2 (2.250488 resident bpw),39,up,3.0,153,0.7401047522269928,0.1320679932832718,32.591814716652564
Q2 (2.250488 resident bpw),39,up,4.0,153,0.8419222768102844,0.10197269916534424,32.591814716652564
activation-aware-scale W1 (1.250488 resident bpw),0,down,0.0,111,0.0,0.6258866190910339,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,0.05,111,0.28485496141106437,0.5952083468437195,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,0.1,111,0.4809393387189914,0.5152364373207092,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,0.2,111,0.6114239867800962,0.4539855122566223,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,0.3,111,0.6623635984464605,0.4168359041213989,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,0.5,111,0.7476248898195914,0.36538365483283997,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,0.75,111,0.8236089456335892,0.30517464876174927,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,1.0,111,0.8534637599494393,0.2822421193122864,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,1.25,111,0.8820962043289987,0.24001938104629517,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,1.5,111,0.904614607550101,0.2211984246969223,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,2.0,111,0.9351518422580014,0.1757679283618927,0.06930935809486982
