projection,method,physical_budget_bpw,invocations,requests,mean,ci_low,ci_high,median,p10,p25,p75,p90,p95,p99,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
down,learned_s29,1.0,400,16,0.37374233900981096,0.34118556883968415,0.41039037337165346,0.3395908373153991,0.06960937932936238,0.19888399486398836,0.5511356580019884,0.7602497502719566,0.8411752759901153,0.9361713648708231,0.08,0.025,0.005,0.0
down,learned_s47,0.1,400,16,0.11558082693670672,0.09513880488953144,0.13654314575521498,0.08196874707370072,-0.0989024608213323,-0.008014210189879245,0.20830927848329264,0.4027915219837011,0.5386373699127294,0.7320326451443994,0.0,0.0,0.0,0.0
down,learned_s47,0.2,400,16,0.16211221119902233,0.1435963041855068,0.18053915368952644,0.12240239433279237,-0.08991107769852567,0.008838840947903881,0.2777618456248686,0.49335708053278415,0.6359193621440538,0.7599363382519283,0.005,0.0,0.0,0.0
down,learned_s47,0.5,400,16,0.2660333535904285,0.2424433583776694,0.29193846590571837,0.2398714405056917,-0.01269087322476039,0.09758893408303856,0.4072752757142772,0.645276827714655,0.7538345506102546,0.8342859970161971,0.03,0.0,0.0,0.0
down,learned_s47,1.0,400,16,0.36455979897530993,0.3337219347704563,0.3953850406524737,0.3373440165443022,0.0520803492949499,0.20802663721435394,0.5171435635823859,0.7571116237224786,0.833406829445256,0.9009108462806511,0.0725,0.0125,0.0,0.0
down,native,0.1,400,16,0.22346598995239808,0.20093218793353693,0.24724933717420647,0.19068826832510705,-0.019944191169817133,0.05770692501534683,0.3386010644160148,0.5777494253420947,0.6907632038350374,0.8660521803939879,0.025,0.0025,0.0025,0.0
down,native,0.2,400,16,0.30561666295026635,0.2839810434943502,0.32937467689164296,0.2697226670807596,0.00042456344825231735,0.11926636524349532,0.4508047701151221,0.6659685819277583,0.805683368851181,0.8842601401923862,0.055,0.005,0.0025,0.0
down,native,0.5,400,16,0.4323596773273279,0.40855489029022746,0.4616434590486123,0.4244194505236355,0.1084666726195134,0.271492275790884,0.6007750375853416,0.8102887546516485,0.8749108546162162,0.9552435418561582,0.11,0.0275,0.0125,0.0
down,native,1.0,400,16,0.5297397708766678,0.5033719186349768,0.5615019667897447,0.5436577833623786,0.21072089869158436,0.37634397341475845,0.7088613352941993,0.8716892642480557,0.9269795464873085,0.9746812578321452,0.1625,0.0725,0.0325,0.0
down,overcomplete_2x,0.1,400,16,0.13371894928470668,0.11262057022002829,0.15752763090898722,0.07736118736812525,-0.03089646932493457,0.014581075982805003,0.20857286304975742,0.4188869636061924,0.5197061855254405,0.6797414963491201,0.0,0.0,0.0,0.0
