resident_base,method,budget_bpw,invocations,requests,mean_recovery,mean_ci_low,mean_ci_high,median_recovery,median_ci_low,median_ci_high,p10_recovery,p90_recovery,p95_damage_fraction,p99_damage_fraction,relative_output_error_median,actual_physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
W1_1.250488bpw,learned_learned_native,0.75,167,16,0.6085902727615143,0.5556206091191715,0.6614397369954323,0.6049708400711717,0.5032612772700181,0.6758682601917874,0.35357234794324405,0.9090792027065071,0.6912878979662898,0.7857497315015762,0.6107179522514343,0.7291666666666666,0.5,0.5,1.0,0.2155688622754491,0.11976047904191617,0.04790419161676647,0.0
W1_1.250488bpw,learned_learned_native,1.0,167,16,0.6506626165655092,0.5955258701828425,0.7040533232329773,0.6583085624271698,0.5713352572206525,0.735923574024617,0.38591241201490406,0.9399466373290997,0.6438835200991476,0.7095890223986447,0.5861833691596985,0.9791666666666666,0.5,0.5,1.46875,0.2874251497005988,0.15568862275449102,0.0658682634730539,0.0
W1_1.250488bpw,learned_learned_native,1.25,167,16,0.682009968546399,0.6277862416074218,0.7336720514047769,0.681119769223415,0.5801634958443448,0.7635375250483242,0.4286409934300595,0.9544947971266748,0.6167624272296861,0.6571294066133059,0.5706652402877808,1.2291666666666667,0.75,1.0,1.5,0.32934131736526945,0.17964071856287425,0.10778443113772455,0.005988023952095809
W1_1.250488bpw,learned_learned_native,1.5,167,16,0.7168464373631216,0.6654867832948398,0.764849798016092,0.7304157986678284,0.6473977851605026,0.7999442362357112,0.4726685313090373,0.9626906050001375,0.5876262773352843,0.6137031266835453,0.5344751477241516,1.4895833333333333,1.0,1.0,2.0,0.38323353293413176,0.2215568862275449,0.1497005988023952,0.011976047904191617
W1_1.250488bpw,learned_learned_native,2.0,167,16,0.7635443999329399,0.7145497070791286,0.8067593016009533,0.7684334752658134,0.712498048861792,0.8399923684633341,0.5355752666571716,0.9787083693546079,0.5037183542137466,0.560103232888731,0.4771362543106079,1.9895833333333333,1.5,1.5,2.5,0.48502994011976047,0.2874251497005988,0.19161676646706588,0.029940119760479042
W1_1.250488bpw,learned_learned_native,2.5,167,16,0.79637874978835,0.7502409285638494,0.8388668438012274,0.8059528853125076,0.7590861212346056,0.8697437551537743,0.5848596815185721,0.9872908580843381,0.448740840321837,0.52813376465689,0.44397634267807007,2.4895833333333335,2.0,2.5,3.0,0.5089820359281437,0.31736526946107785,0.23353293413173654,0.08383233532934131
W1_1.250488bpw,learned_learned_native,3.0,167,16,0.8193813921051587,0.7781778746334505,0.8579948787412017,0.8410599712871594,0.7740425277397174,0.895464161687679,0.617848246060586,0.990847550527071,0.42572441489361307,0.5060355762101647,0.41724327206611633,2.9895833333333335,2.5,2.5,3.96875,0.5568862275449101,0.3413173652694611,0.2754491017964072,0.10778443113772455
W1_1.250488bpw,learned_learned_native,4.0,167,16,0.842497179587979,0.804506745418013,0.8798571859808654,0.8592679659916763,0.8052870729537567,0.912443927015388,0.6569138310967764,0.9958153981337258,0.37407396386865427,0.49163238789534686,0.3660866916179657,3.6666666666666665,4.0,4.0,4.0,0.6287425149700598,0.39520958083832336,0.2994011976047904,0.17365269461077845
W1_1.250488bpw,pca_pca_native,0.0,167,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8363089561462402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1_1.250488bpw,pca_pca_native,0.25,167,16,0.47287363866115883,0.4100366524702317,0.5377265140441233,0.4631464716145768,0.3984758834983886,0.5182805377216566,0.22757491854722078,0.7992769693681808,0.8333600170475851,0.907159622617114,0.6846606731414795,0.22916666666666666,0.09375,0.09375,0.46875,0.10179640718562874,0.023952095808383235,0.005988023952095809,0.0
