projection,method,threshold,invocations,requests,reach_fraction_by_4bpw,reach_fraction_ci_low,reach_fraction_ci_high,mean_required_bpw_capped_at_4,mean_capped_ci_low,mean_capped_ci_high,median_required_bpw,median_capped_ci_low,median_capped_ci_high,p75_required_bpw,p90_required_bpw,p95_required_bpw,p99_required_bpw,finite_mean_conditional
up,learned_s29,0.8,400,16,0.395,0.312906918865107,0.5113383021150012,2.925859375,2.62098006722591,3.182024636243386,inf,4.0,4.0,inf,inf,inf,inf,1.2806566455696202
up,learned_s29,0.9,400,16,0.2625,0.2036986384634087,0.34190320049324585,3.346953125,3.1402782298472367,3.5303909729499607,inf,4.0,4.0,inf,inf,inf,inf,1.512202380952381
up,learned_s29,0.95,400,16,0.225,0.1598894470894062,0.30795115522180594,3.638125,3.4674078146275806,3.753648672462406,inf,4.0,4.0,inf,inf,inf,inf,2.3916666666666666
up,learned_s29,0.975,400,16,0.1575,0.10560072470632816,0.22631230492764587,3.86875,3.8152514966163458,3.9121739683231618,inf,4.0,4.0,inf,inf,inf,inf,3.1666666666666665
up,learned_s29,0.99,400,16,0.0325,0.018134519355697133,0.049566709083001786,3.995,3.9878033835485414,4.0,inf,4.0,4.0,inf,inf,inf,inf,3.8461538461538463
up,learned_s47,0.8,400,16,0.3875,0.30822548870216376,0.4866105874138081,2.941796875,2.6392636365892397,3.178517212515394,inf,4.0,4.0,inf,inf,inf,inf,1.2691532258064515
up,learned_s47,0.9,400,16,0.27,0.21122442721876075,0.34679363208525965,3.33125,3.098729595603314,3.506492456896552,inf,4.0,4.0,inf,inf,inf,inf,1.5231481481481481
up,learned_s47,0.95,400,16,0.2275,0.16588295440053924,0.3100691089425691,3.635625,3.493490763162006,3.747157172970164,inf,4.0,4.0,inf,inf,inf,inf,2.3983516483516483
up,learned_s47,0.975,400,16,0.1525,0.10450204748444235,0.21041708924949284,3.86625,3.812126923076923,3.9166716867469877,inf,4.0,4.0,inf,inf,inf,inf,3.122950819672131
up,learned_s47,0.99,400,16,0.0375,0.018515678254942058,0.05569888675406871,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0
up,native,0.8,400,16,0.05,0.029526331529987324,0.07177492925230859,3.98125,3.9627807564121142,3.9948463495662723,inf,4.0,4.0,inf,inf,inf,inf,3.625
up,native,0.9,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,native,0.95,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,native,0.975,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,native,0.99,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,overcomplete_2x,0.8,400,16,0.335,0.2649527186761229,0.4356797165327111,3.119609375,2.8463237288283874,3.333469921455701,inf,4.0,4.0,inf,inf,inf,inf,1.3719682835820894
up,overcomplete_2x,0.9,400,16,0.2225,0.16076881265853366,0.3025987929985114,3.6225,3.4957252344204304,3.73965560900489,inf,4.0,4.0,inf,inf,inf,inf,2.303370786516854
up,overcomplete_2x,0.95,400,16,0.1075,0.065375,0.1532527280559012,3.879375,3.829811052462276,3.923001415218536,inf,4.0,4.0,inf,inf,inf,inf,2.877906976744186
up,overcomplete_2x,0.975,400,16,0.03,0.014424277624509948,0.0458228380748361,3.99375,3.9858240100749764,4.0,inf,4.0,4.0,inf,inf,inf,inf,3.7916666666666665
up,overcomplete_2x,0.99,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,pca,0.8,400,16,0.4075,0.3197152482821499,0.5277393865784367,2.868125,2.5694990713451897,3.115623354075122,inf,4.0,4.0,inf,inf,inf,inf,1.2223926380368098
up,pca,0.9,400,16,0.2775,0.20865222109551512,0.36919581127112067,3.304375,3.0897978019292878,3.482263607388035,inf,4.0,4.0,inf,inf,inf,inf,1.4932432432432432
up,pca,0.95,400,16,0.235,0.16807645093406187,0.3257417504602747,3.56125,3.4055970828613047,3.6889643423437026,inf,4.0,4.0,inf,inf,inf,inf,2.132978723404255
up,pca,0.975,400,16,0.2125,0.14871134020618557,0.30137798931971205,3.795,3.7173645528272132,3.8687741197094287,inf,4.0,4.0,inf,inf,inf,inf,3.0352941176470587
up,pca,0.99,400,16,0.1,0.06419680233094215,0.1481536432575008,3.97875,3.968604194569585,3.9897973972197573,inf,4.0,4.0,inf,inf,inf,inf,3.7875
up,progressive_best,0.8,400,16,0.7725,0.6641038505542323,0.8543956043956044,2.796328125,2.432165938816713,3.0426251582426858,4.0,3.0,4.0,4.0,inf,inf,inf,2.4418487055016183
up,progressive_best,0.9,400,16,0.365,0.28959124852613655,0.46518588106389713,3.21515625,2.94886329961234,3.4172209440169374,inf,4.0,4.0,inf,inf,inf,inf,1.8497431506849316
up,progressive_best,0.95,400,16,0.2575,0.19012006336459739,0.3410875512995896,3.4046875,3.1775683236503776,3.570464321037301,inf,4.0,4.0,inf,inf,inf,inf,1.6881067961165048
up,progressive_best,0.975,400,16,0.2375,0.1725451416823098,0.3251721721892783,3.586640625,3.418920499156506,3.715954410805506,inf,4.0,4.0,inf,inf,inf,inf,2.2595394736842107
up,progressive_best,0.99,400,16,0.1875,0.13077363755180657,0.2653784890776699,3.810703125,3.741496835127592,3.867490989095433,inf,4.0,4.0,inf,inf,inf,inf,2.9904166666666665
up,random,0.8,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,random,0.9,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,random,0.95,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,random,0.975,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,random,0.99,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
up,two_view_oracle,0.8,400,16,0.4225,0.33885000339776133,0.5352379259785843,2.776796875,2.427205474990259,3.0478090749861266,inf,3.0,4.0,inf,inf,inf,inf,1.104844674556213
up,two_view_oracle,0.9,400,16,0.29,0.21443810565801813,0.37667737430167597,3.22890625,2.9507841608151817,3.436020252165778,inf,4.0,4.0,inf,inf,inf,inf,1.3410560344827587
up,two_view_oracle,0.95,400,16,0.24,0.17560437523173897,0.32670157209001827,3.48875,3.2858488680448765,3.6457123458302707,inf,4.0,4.0,inf,inf,inf,inf,1.8697916666666667
up,two_view_oracle,0.975,400,16,0.2225,0.1586354885688066,0.30860832852050263,3.71875,3.6134607633949742,3.8092301688329093,inf,4.0,4.0,inf,inf,inf,inf,2.735955056179775
up,two_view_oracle,0.99,400,16,0.1225,0.07762077221481391,0.17432159831988506,3.95125,3.9274359698732644,3.971233663989923,inf,4.0,4.0,inf,inf,inf,inf,3.6020408163265305
