layer,projection,method,budget_bpw,count,mean,median,std
0,gate,two_view_oracle,1.5,111,0.9039176706141718,0.9587607091507887,0.13708010182638652
0,gate,two_view_oracle,2.0,111,0.9229954846163488,0.9716803333670405,0.12315856183889458
0,gate,two_view_oracle,2.5,111,0.935895397253688,0.9800565322381233,0.11337102874193182
0,gate,two_view_oracle,3.0,111,0.9455416380518447,0.9859734169893445,0.10348884010104543
0,gate,two_view_oracle,4.0,111,0.9583164569450199,0.991863192438561,0.08825692410248233
0,up,generalized,0.0,111,0.0,0.0,0.0
0,up,generalized,0.05,111,0.3799010226516175,0.41405979839679785,0.16287531780949274
0,up,generalized,0.1,111,0.5304406851403928,0.5869739346671533,0.20239944695067427
0,up,generalized,0.2,111,0.6278798631034677,0.6974426267611229,0.21251984337698288
0,up,generalized,0.3,111,0.6796569464747296,0.749234098007645,0.2116307450227918
0,up,generalized,0.5,111,0.7540538419174585,0.8280575858940626,0.20485018881332534
0,up,generalized,0.75,111,0.8009360504160167,0.8754630859796442,0.19484528128496387
0,up,generalized,1.0,111,0.8307802948881292,0.9027010771182523,0.1872844762289152
0,up,generalized,1.25,111,0.8518510444411975,0.9180641708747086,0.1806221125058183
0,up,generalized,1.5,111,0.8688410782796036,0.936356912445959,0.17394112973984155
0,up,generalized,2.0,111,0.8958367904055887,0.9601794866318911,0.15641154754040199
0,up,generalized,2.5,111,0.9129546118330136,0.9724384023161046,0.14620804811929194
0,up,generalized,3.0,111,0.926330766765231,0.9793972802159456,0.13408796401128567
0,up,generalized,4.0,111,0.9428183314337606,0.9887969243816719,0.1159613780964333
0,up,learned_s11,0.0,111,0.0,0.0,0.0
0,up,learned_s11,0.05,111,0.24238441117357432,0.276003017840442,0.16176090352055508
0,up,learned_s11,0.1,111,0.40884401315255126,0.4459984865967975,0.20893365090041688
0,up,learned_s11,0.2,111,0.5355697768034813,0.5917166004714934,0.20725159033715904
0,up,learned_s11,0.3,111,0.6035198662087544,0.6615144823311978,0.20505135145826853
0,up,learned_s11,0.5,111,0.7005973174259972,0.7623654481387108,0.19954073877745387
0,up,learned_s11,0.75,111,0.7559785553668733,0.8180599605556067,0.19848582810018398
0,up,learned_s11,1.0,111,0.7951095714905144,0.8577050214503155,0.1898940824607712
0,up,learned_s11,1.25,111,0.821686815890369,0.8904777095517757,0.18643930637046505
0,up,learned_s11,1.5,111,0.8423284573440337,0.9117757616171401,0.18002574850173267
0,up,learned_s11,2.0,111,0.8702522926666026,0.939756781588701,0.17094265229917513
0,up,learned_s11,2.5,111,0.889311730226974,0.9543333787289863,0.15948073078159297
0,up,learned_s11,3.0,111,0.9035764714975256,0.9661273894100276,0.14807868089059018
0,up,learned_s11,4.0,111,0.9225923652816183,0.9782183045897507,0.13050915326705023
0,up,learned_s29,0.0,111,0.0,0.0,0.0
0,up,learned_s29,0.05,111,0.22426791043849323,0.2461893136405101,0.1506114492387756
0,up,learned_s29,0.1,111,0.40653259304027634,0.45867390648482353,0.2083454606339445
0,up,learned_s29,0.2,111,0.535540163676147,0.5958809822797563,0.20851525761906636
