layer,projection,budget_bpw,invocations,median_recovery,p10_recovery,p90_recovery
4,down,0.75,48,0.5358763751701605,0.3477193221256747,0.7948313799967772
4,down,1.0,48,0.5611837562652032,0.3823636724924321,0.8116551455991688
4,down,1.25,48,0.6191017453095107,0.4718134021864681,0.8132841829160122
4,down,1.5,48,0.7027313295890424,0.5256247208998405,0.8452434446989524
4,down,2.0,48,0.7609659411524063,0.6021035204661345,0.8747149942356094
4,down,2.5,48,0.814903127775616,0.634514183042606,0.8939758956414044
4,down,3.0,48,0.8778516898337101,0.721608254583309,0.9271201062314803
4,down,4.0,48,0.9397776410315852,0.8545529380919588,0.9697338304151752
4,gate,0.0,48,0.0,0.0,0.0
4,gate,0.05,48,0.22540072289967727,0.09898772815279819,0.33966007276380855
4,gate,0.1,48,0.3290118664879577,0.1428068579606786,0.4627023279803906
4,gate,0.2,48,0.4037194761859385,0.18238886014908598,0.5946948530600769
4,gate,0.3,48,0.42749681641433857,0.2118634253681424,0.6972665665206789
4,gate,0.5,48,0.4714330497642537,0.259502541389092,0.7629571392195206
4,gate,0.75,48,0.5253068777741541,0.3147664959567029,0.8138320058031299
4,gate,1.0,48,0.556442896680535,0.3465228976040609,0.8373181102018118
4,gate,1.25,48,0.59301248727231,0.3896365374704798,0.8784526364062983
4,gate,1.5,48,0.6259423774926929,0.43158482800959697,0.9013469505871022
4,gate,2.0,48,0.6808783501294174,0.5249314279300816,0.9273291276028549
4,gate,2.5,48,0.7790577600686686,0.6091034448686046,0.9399812988258562
4,gate,3.0,48,0.7842178576590901,0.6688742108620648,0.9517595036177301
4,gate,4.0,48,0.893399431578551,0.8022476982475937,0.9660554490789286
4,up,0.0,48,0.0,0.0,0.0
4,up,0.05,48,0.1432267860495895,0.045209395047794414,0.3023084553938495
4,up,0.1,48,0.2866619031219312,0.08621611705003446,0.41570131100017677
4,up,0.2,48,0.33925803911746355,0.14045276935524417,0.5503871024049433
4,up,0.3,48,0.3708129446687716,0.1584746209209017,0.6715921847352425
4,up,0.5,48,0.43637064466828634,0.20212194240591916,0.7413489660511193
4,up,0.75,48,0.489938186853589,0.25004732879589875,0.7791868492064726
4,up,1.0,48,0.530879676586449,0.276296339827134,0.805147372645765
4,up,1.25,48,0.5703987649793753,0.3245833328598001,0.8420863523820845
4,up,1.5,48,0.5998224158342489,0.35831951220719965,0.8867982569002685
4,up,2.0,48,0.6603045201950439,0.4767305346709004,0.9083399160534368
4,up,2.5,48,0.7657339887291155,0.588949532239327,0.9307529743464529
4,up,3.0,48,0.7849010435562422,0.6547698552446344,0.938477846535661
4,up,4.0,48,0.8801827123182795,0.7979239336655279,0.9605603391893365
10,down,0.0,43,0.0,0.0,0.0
10,down,0.05,43,0.0787790319396966,0.0,0.2681696949737694
10,down,0.1,43,0.17988022029965312,0.04386278079136561,0.35557949381091153
10,down,0.2,43,0.2586766488909211,0.06867308555295318,0.3911060036185797
10,down,0.3,43,0.3036565431658419,0.05114309703072225,0.4931771963272939
10,down,0.5,43,0.330727704108589,0.20398615954046226,0.5199410416964073
10,down,0.75,43,0.4359442763313931,0.2871327258229359,0.5750213988491469
10,down,1.0,43,0.5089617139339571,0.35200677877989095,0.6359548433381274
10,down,1.25,43,0.5635493060772314,0.4314932480591461,0.6755601672218984
10,down,1.5,43,0.6050526127699867,0.4677888992488721,0.7221533688839067
10,down,2.0,43,0.6884467172395112,0.5702353829857745,0.8046676017330363
10,down,2.5,43,0.7460908455622786,0.6508027204901088,0.8466569532472494
