layer,method,budget_bpw,invocations,recovery_median,recovery_p10,relative_error_median,physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median
20,all_pca,0.0,40,0.0,0.0,0.8355231583118439,0.0,0.0,0.0,0.0
20,all_pca,0.25,40,0.22387575675220472,0.07082281387537699,0.7961263954639435,0.22395833333333331,0.0625,0.1875,0.25
20,all_pca,0.5,40,0.28975513840994177,0.1385824756052209,0.7681370675563812,0.4791666666666667,0.171875,0.1875,0.75
20,all_pca,0.75,40,0.3544453314821929,0.16609095333803697,0.7579033672809601,0.6927083333333333,0.140625,0.5,1.109375
20,all_pca,1.0,40,0.3953852253658632,0.21094433225996956,0.7427805662155151,0.9791666666666666,0.1875,0.390625,1.5
20,all_pca,1.25,40,0.43472494487171426,0.2945543964985324,0.7310575544834137,1.1770833333333333,0.390625,0.5,2.0
20,all_pca,1.5,40,0.47753832698845594,0.352204348708155,0.7215170562267303,1.484375,0.5,0.625,2.0
20,all_pca,2.0,40,0.5432049634282918,0.41408093517001604,0.6809275150299072,1.9166666666666667,0.875,1.375,3.0
20,all_pca,2.5,40,0.6055058776569633,0.46702716481159606,0.6246490776538849,2.4166666666666665,1.75,2.25,3.0
20,all_pca,3.0,40,0.631037021771359,0.5336926962498736,0.5785481631755829,2.9895833333333335,2.5,3.0,4.0
20,all_pca,4.0,40,0.7376584011179476,0.6368895562975315,0.464484840631485,4.0,4.0,4.0,4.0
20,generalized_generalized_native,0.0,40,0.0,0.0,0.8355231583118439,0.0,0.0,0.0,0.0
