layer,expert_id,expert_stratum,projection,method,budget_bpw,count,mean,median
39,70,hot,down,pca,2.0,23,0.6950601495062199,0.739161401738377
39,70,hot,down,pca,2.5,23,0.7272181388231366,0.7776847135635148
39,70,hot,down,pca,3.0,23,0.7475253671163228,0.7994406578671007
39,70,hot,down,pca,4.0,23,0.8007237932885178,0.8464289762675858
39,70,hot,down,progressive_best,0.0,23,0.0,0.0
39,70,hot,down,progressive_best,0.05,23,0.09777519229089238,0.10328635991597013
39,70,hot,down,progressive_best,0.1,23,0.17692468591036023,0.19179314811623482
39,70,hot,down,progressive_best,0.2,23,0.2906129162460129,0.2709248086205448
39,70,hot,down,progressive_best,0.3,23,0.31856116074672786,0.277706166900602
39,70,hot,down,progressive_best,0.5,23,0.3772986341604418,0.3924352501464716
39,70,hot,down,progressive_best,0.75,23,0.38623867331983414,0.4194502211989878
39,70,hot,down,progressive_best,1.0,23,0.41264986351711697,0.4977444870960084
39,70,hot,down,progressive_best,1.25,23,0.4448767158493006,0.501043927073026
39,70,hot,down,progressive_best,1.5,23,0.4701861623265794,0.5418791801598192
39,70,hot,down,progressive_best,2.0,23,0.5682744973657351,0.6237964524513566
39,70,hot,down,progressive_best,2.5,23,0.6190936918954998,0.6507809600010132
39,70,hot,down,progressive_best,3.0,23,0.6746866280712589,0.7329309918517675
39,70,hot,down,progressive_best,4.0,23,0.871197388973128,0.9019747021995637
39,70,hot,down,random,0.0,23,0.0,0.0
39,70,hot,down,random,0.05,23,0.0,0.0
39,70,hot,down,random,0.1,23,0.033893279888171673,0.03605037996267957
39,70,hot,down,random,0.2,23,0.04045071418501296,0.046048612879170614
39,70,hot,down,random,0.3,23,0.07336792121979319,0.0644791674422952
39,70,hot,down,random,0.5,23,0.13599728255446114,0.1671474075990773
39,70,hot,down,random,0.75,23,0.20390612819936463,0.22781878408668332
39,70,hot,down,random,1.0,23,0.2485425972411375,0.24245690274311937
39,70,hot,down,random,1.25,23,0.2591274169833824,0.28373761388645613
39,70,hot,down,random,1.5,23,0.2940067236970275,0.33578194634952374
39,70,hot,down,random,2.0,23,0.38306357563447024,0.40170026476132104
39,70,hot,down,random,2.5,23,0.4191506685440877,0.4587447291883391
39,70,hot,down,random,3.0,23,0.475893134735471,0.5159928659158524
39,70,hot,down,random,4.0,23,0.5833149462912395,0.6147542983541753
39,70,hot,down,two_view_oracle,0.0,23,0.0,0.0
39,70,hot,down,two_view_oracle,0.05,23,0.0,0.0
39,70,hot,down,two_view_oracle,0.1,23,0.4246931241497597,0.49044357754112144
39,70,hot,down,two_view_oracle,0.2,23,0.45277199957648795,0.5171484498776504
39,70,hot,down,two_view_oracle,0.3,23,0.4799950360630968,0.5640638668112941
39,70,hot,down,two_view_oracle,0.5,23,0.54278943317375,0.6035537783020013
39,70,hot,down,two_view_oracle,0.75,23,0.571359914823485,0.6076298376512896
39,70,hot,down,two_view_oracle,1.0,23,0.595634852211888,0.6713745777834418
39,70,hot,down,two_view_oracle,1.25,23,0.6327366546263117,0.7046337102859774
39,70,hot,down,two_view_oracle,1.5,23,0.6594350362399433,0.7293686030405513
39,70,hot,down,two_view_oracle,2.0,23,0.702702128643822,0.7555762874829454
39,70,hot,down,two_view_oracle,2.5,23,0.722066452886127,0.7776847135635148
39,70,hot,down,two_view_oracle,3.0,23,0.7501435627717419,0.8092039414548191
39,70,hot,down,two_view_oracle,4.0,23,0.8062294859724075,0.8464289762675858
39,70,hot,gate,generalized,0.0,23,0.0,0.0
39,70,hot,gate,generalized,0.05,23,0.6913627828105947,0.6965537510687678
39,70,hot,gate,generalized,0.1,23,0.7388504275144148,0.7323977909679151
39,70,hot,gate,generalized,0.2,23,0.7687809291261687,0.771142836194201
39,70,hot,gate,generalized,0.3,23,0.7817088167412536,0.7819111387536887
39,70,hot,gate,generalized,0.5,23,0.8017458370874051,0.7998588209311851
39,70,hot,gate,generalized,0.75,23,0.81657785010612,0.8197423552965353
39,70,hot,gate,generalized,1.0,23,0.8272921706745346,0.832266305695847
39,70,hot,gate,generalized,1.25,23,0.8362129803231468,0.8407788556819877
39,70,hot,gate,generalized,1.5,23,0.8437430792554708,0.8505724719311937
39,70,hot,gate,generalized,2.0,23,0.8562085351312174,0.8618964689670958
39,70,hot,gate,generalized,2.5,23,0.8664118140352685,0.8693745688703409
39,70,hot,gate,generalized,3.0,23,0.8738016030047555,0.8814474267575053
39,70,hot,gate,generalized,4.0,23,0.8901395726731686,0.8985997932076811
39,70,hot,gate,learned_s11,0.0,23,0.0,0.0
39,70,hot,gate,learned_s11,0.05,23,0.6723115480351644,0.6772879366224585
39,70,hot,gate,learned_s11,0.1,23,0.7299718666289804,0.727568197225976
39,70,hot,gate,learned_s11,0.2,23,0.7566696452005048,0.7500907731240624
39,70,hot,gate,learned_s11,0.3,23,0.773836789269658,0.7723385505204257
39,70,hot,gate,learned_s11,0.5,23,0.7919603959646938,0.7864900809700734
39,70,hot,gate,learned_s11,0.75,23,0.8054515903666718,0.8031084508625884
39,70,hot,gate,learned_s11,1.0,23,0.8162013265586048,0.8170851749525653
39,70,hot,gate,learned_s11,1.25,23,0.8254835411927506,0.8214872659759804
39,70,hot,gate,learned_s11,1.5,23,0.833687337410859,0.8301719410903757
39,70,hot,gate,learned_s11,2.0,23,0.8468484939788483,0.8436513660873882
39,70,hot,gate,learned_s11,2.5,23,0.856135956212015,0.851600868050472
39,70,hot,gate,learned_s11,3.0,23,0.8652149449261138,0.8622392503191181
39,70,hot,gate,learned_s11,4.0,23,0.8830092121854278,0.8796077238293234
39,70,hot,gate,learned_s29,0.0,23,0.0,0.0
39,70,hot,gate,learned_s29,0.05,23,0.6744936255985432,0.6775434012917094
39,70,hot,gate,learned_s29,0.1,23,0.7326809898794733,0.7376799479037582
39,70,hot,gate,learned_s29,0.2,23,0.7599095085450963,0.7497071731384627
39,70,hot,gate,learned_s29,0.3,23,0.7715096469217445,0.761555595152464
39,70,hot,gate,learned_s29,0.5,23,0.7948602736192213,0.7855743106703849
39,70,hot,gate,learned_s29,0.75,23,0.806934113744164,0.7996388253160389
39,70,hot,gate,learned_s29,1.0,23,0.8183199615417509,0.8091185660577753
39,70,hot,gate,learned_s29,1.25,23,0.8274673624447795,0.8221317892026316
39,70,hot,gate,learned_s29,1.5,23,0.8353778655551771,0.8349035487909502
39,70,hot,gate,learned_s29,2.0,23,0.8497502722381257,0.8513152643951641
39,70,hot,gate,learned_s29,2.5,23,0.8618369003675602,0.8645469582223985
39,70,hot,gate,learned_s29,3.0,23,0.8706774174248114,0.874563664460232
39,70,hot,gate,learned_s29,4.0,23,0.8849029930928652,0.8885981339591497
39,70,hot,gate,learned_s47,0.0,23,0.0,0.0
39,70,hot,gate,learned_s47,0.05,23,0.6692179284796503,0.670571837314849
39,70,hot,gate,learned_s47,0.1,23,0.7254169200180102,0.7188965421217983
39,70,hot,gate,learned_s47,0.2,23,0.7553371218806104,0.7532235017063473
39,70,hot,gate,learned_s47,0.3,23,0.7681577135565977,0.7712538693993709
39,70,hot,gate,learned_s47,0.5,23,0.7872030643240883,0.7844394369684238
39,70,hot,gate,learned_s47,0.75,23,0.8032404775633495,0.8019352281047385
39,70,hot,gate,learned_s47,1.0,23,0.8139540931266701,0.8108011885279425
39,70,hot,gate,learned_s47,1.25,23,0.8233142109109738,0.8193368014356333
39,70,hot,gate,learned_s47,1.5,23,0.8318211409137234,0.8280419834185163
39,70,hot,gate,learned_s47,2.0,23,0.8451324335231141,0.8365867636605421
39,70,hot,gate,learned_s47,2.5,23,0.8543523116613876,0.8491318680682961
39,70,hot,gate,learned_s47,3.0,23,0.8634093783967053,0.8612217771966784
39,70,hot,gate,learned_s47,4.0,23,0.8792211472318049,0.8791078607619318
39,70,hot,gate,native,0.0,23,0.0,0.0
39,70,hot,gate,native,0.05,23,0.05310520907330039,0.055378693282715385
39,70,hot,gate,native,0.1,23,0.10119204779780608,0.09708017376201739
39,70,hot,gate,native,0.2,23,0.1559358674026885,0.1546251882613684
39,70,hot,gate,native,0.3,23,0.20578403112029453,0.20789008094278105
39,70,hot,gate,native,0.5,23,0.2759021597236898,0.27116918688839853
39,70,hot,gate,native,0.75,23,0.34336233198756133,0.3358457780500843
39,70,hot,gate,native,1.0,23,0.3923018261919832,0.38680342257981637
39,70,hot,gate,native,1.25,23,0.43767305050024813,0.44266533595070867
39,70,hot,gate,native,1.5,23,0.4690583409349243,0.46926986670884874
39,70,hot,gate,native,2.0,23,0.5287462389333271,0.535366344457479
39,70,hot,gate,native,2.5,23,0.5746833349912659,0.572067338073241
39,70,hot,gate,native,3.0,23,0.618424680526413,0.6192660562835081
39,70,hot,gate,native,4.0,23,0.675187678123411,0.6830869431845276
39,70,hot,gate,overcomplete_2x,0.0,23,0.0,0.0
39,70,hot,gate,overcomplete_2x,0.05,23,0.6346486846157983,0.6403610141522074
39,70,hot,gate,overcomplete_2x,0.1,23,0.706892203013797,0.7106089023735043
39,70,hot,gate,overcomplete_2x,0.2,23,0.741582811078365,0.7364314840771906
39,70,hot,gate,overcomplete_2x,0.3,23,0.7541336254366426,0.7480995733804496
39,70,hot,gate,overcomplete_2x,0.5,23,0.7752916388436593,0.7661128815359008
39,70,hot,gate,overcomplete_2x,0.75,23,0.7889261932303069,0.7830375694468379
39,70,hot,gate,overcomplete_2x,1.0,23,0.7989170852555768,0.7960561921730506
39,70,hot,gate,overcomplete_2x,1.25,23,0.8066090787682867,0.8019015928596831
39,70,hot,gate,overcomplete_2x,1.5,23,0.8133062854881675,0.8122907966469887
39,70,hot,gate,overcomplete_2x,2.0,23,0.8243622395534658,0.8259181560867339
39,70,hot,gate,overcomplete_2x,2.5,23,0.8330031996982288,0.8344038852279273
39,70,hot,gate,overcomplete_2x,3.0,23,0.8404223102449783,0.8409558216239886
39,70,hot,gate,overcomplete_2x,4.0,23,0.8540713489146646,0.8604654785878547
39,70,hot,gate,pca,0.0,23,0.0,0.0
39,70,hot,gate,pca,0.05,23,0.6644271758298598,0.670594215969903
39,70,hot,gate,pca,0.1,23,0.7280181450171096,0.7217965582468621
39,70,hot,gate,pca,0.2,23,0.7522416443900483,0.7560270231838968
39,70,hot,gate,pca,0.3,23,0.7658973955300772,0.770717301321315
39,70,hot,gate,pca,0.5,23,0.7866542772672522,0.7910790705115135
