training_cohort,basis_variant,rank,synthesis_encoding,n,delta_gate_relative_mse_median,delta_up_relative_mse_median,hidden_q4_relative_mse_p10,hidden_q4_relative_mse_median,hidden_q4_relative_mse_p90,unit_score_ndcg_192_median,utility_weighted_recall_192_p10,utility_weighted_recall_192_median,predictor_runtime_ms_median
combined_exact_and_cross_train,per_expert_joint_gate_up_upper_bound,64,fp16,69,0.5785021680481571,0.628437101209585,0.06728357946479836,0.11840962796568512,0.1748318141758638,0.8665942801479752,0.8436823074757054,0.9134065556493494,0.16896985471248627
combined_exact_and_cross_train,per_expert_joint_gate_up_upper_bound,128,fp16,69,0.504772683724842,0.5404618080016208,0.05212255646322098,0.10356966218510086,0.15066513987974328,0.8844165796741171,0.8638248855386059,0.9300085953876981,0.22703036665916443
exact_checkpoint_train_only,layer_shared_joint_gate_up,8,fp16,69,0.7128261124366618,0.7378532372664908,0.08799372576675134,0.1436337062425495,0.19080777637853139,0.837085370912046,0.8316326656968916,0.9007299872210531,0.20164065062999725
exact_checkpoint_train_only,layer_shared_joint_gate_up,8,fp8_e4m3fn_per_row,69,0.7137835294714578,0.7376665057477313,0.08805562864135946,0.14364993005793295,0.19088374124094223,0.8370601149107088,0.8316326656968916,0.9023484337559616,0.1363009214401245
exact_checkpoint_train_only,layer_shared_joint_gate_up,8,int8_per_row,69,0.7129041965834434,0.7382790521881142,0.0879698226419801,0.1437222146276178,0.1908778878957909,0.8369596242924396,0.8321217423042165,0.9007299872210531,0.1343991607427597
exact_checkpoint_train_only,layer_shared_joint_gate_up,16,fp16,69,0.6884464341036791,0.7173198771796789,0.07944772420472061,0.14038431264629692,0.18445877878312486,0.8224921578853996,0.8360007653153482,0.9060605427290164,0.1388099044561386
exact_checkpoint_train_only,layer_shared_joint_gate_up,16,fp8_e4m3fn_per_row,69,0.6889245776368742,0.717367071082424,0.07979339378439038,0.14023718732401494,0.184478489649831,0.8233513080432298,0.8360007653153481,0.902313966900519,0.1359507441520691
exact_checkpoint_train_only,layer_shared_joint_gate_up,16,int8_per_row,69,0.688440301817839,0.7178467677931151,0.0795029675822361,0.1404160794772976,0.1845135354846153,0.8225263101380471,0.8360007653153481,0.9060605427290164,0.13596005737781525
exact_checkpoint_train_only,layer_shared_joint_gate_up,32,fp16,69,0.6403496427488694,0.6715888907335733,0.07369441477111005,0.13118825226339131,0.17438402161213065,0.844898887045694,0.8456902235549423,0.9150822192680779,0.1468714326620102
exact_checkpoint_train_only,layer_shared_joint_gate_up,32,fp8_e4m3fn_per_row,69,0.6410330809588584,0.6717872720617116,0.07377643842065118,0.13039372585583303,0.17452426435928772,0.8464544729823933,0.844042187022874,0.9160927562564182,0.14471076428890228
