group,projection,basis,stage,invocations,recovery_p10,recovery_median,recovery_p90
layers 4/20/39,gate,overcomplete_2x,1,44,0.9231668787418191,0.9313160286607333,0.9389999669248272
layers 4/20/39,gate,overcomplete_2x,2,44,0.9904050752893687,0.9915913213069072,0.9926578282446537
layers 4/20/39,gate,overcomplete_2x,3,44,0.9981338722321682,0.9984280128440258,0.998654253118567
layers 4/20/39,gate,pca,1,44,0.8760899722919779,0.8921290474981383,0.9049886259225717
layers 4/20/39,gate,pca,2,44,0.9835607024727612,0.9858505663363506,0.9875505165261291
layers 4/20/39,gate,pca,3,44,0.9967000940571914,0.9973246198544514,0.9976323828278439
layers 4/20/39,gate,refit_generalized,1,44,0.8757300060888262,0.888671559850793,0.9010006659075215
layers 4/20/39,gate,refit_generalized,2,44,0.9838933812771966,0.9861110645752824,0.9878129474072473
layers 4/20/39,gate,refit_generalized,3,44,0.9976737294879979,0.9979194719602928,0.9982767203887534
layers 4/20/39,up,butterfly_hadamard_control,1,44,0.8648585656823377,0.8780798508846208,0.8956156529108206
layers 4/20/39,up,butterfly_hadamard_control,2,44,0.9823766886234748,0.9848258706309734,0.9871119480378872
layers 4/20/39,up,butterfly_hadamard_control,3,44,0.9968895282468643,0.9972591111027649,0.9975613429053795
layers 4/20/39,up,generalized,1,44,0.8716081457409358,0.8873462401909631,0.8977769953400581
layers 4/20/39,up,generalized,2,44,0.9834201086326092,0.9855958982750052,0.9869711409029951
layers 4/20/39,up,generalized,3,44,0.9969052247385775,0.9974118411530735,0.9976639670380765
layers 4/20/39,up,learned_orthogonal,1,44,0.7484696795429955,0.8138536655889371,0.8835348649222613
layers 4/20/39,up,learned_orthogonal,2,44,0.9706390779766397,0.9777624170982788,0.9835426244907272
layers 4/20/39,up,learned_orthogonal,3,44,0.9957163108344602,0.9965950407982826,0.9970048194180139
layers 4/20/39,up,native,1,44,0.8670634587663568,0.8866748629908114,0.9023355493359487
layers 4/20/39,up,native,2,44,0.9757747051194635,0.9840626243763995,0.9863985413006202
layers 4/20/39,up,native,3,44,0.9950213560456694,0.9971524183725485,0.9975300130399655
layers 4/20/39,up,overcomplete_2x,1,44,0.9205734436826711,0.927425355109305,0.9370372338637611
layers 4/20/39,up,overcomplete_2x,2,44,0.9897145556405819,0.9914519513217956,0.9925502267076677
layers 4/20/39,up,overcomplete_2x,3,44,0.998236947032272,0.99848290892082,0.9987387108528886
layers 4/20/39,up,pca,1,44,0.8718338774626953,0.8856592735853805,0.8981745966233522
layers 4/20/39,up,pca,2,44,0.9835798595850626,0.9848342173925526,0.9871407392635801
layers 4/20/39,up,pca,3,44,0.9970059810944966,0.9973210293809359,0.9978399172916776
layers 4/20/39,up,refit_generalized,1,44,0.8678334939237518,0.8852241345527752,0.8956358196953073
layers 4/20/39,up,refit_generalized,2,44,0.9830465919665623,0.9856014110660541,0.9870499673302453
layers 4/20/39,up,refit_generalized,3,44,0.9971532719538754,0.9980125151115614,0.9982595371521646
