projection,stage,comparison,k,cases,recovery_median,recovery_p10,recovery_p90
down,2,bounded_beam_w16_pool32,11.0,4,0.3716996436833287,0.2562275756981281,0.6588966440831325
down,2,bounded_beam_w16_pool32,12.0,4,0.39166997013140203,0.27202462723545684,0.6712673397609229
down,2,bounded_beam_w16_pool32,13.0,4,0.4107302793531063,0.28726505744132136,0.6835263390683979
down,2,bounded_beam_w16_pool32,14.0,4,0.42946678008292605,0.30197220439411077,0.6946958561896994
down,2,bounded_beam_w16_pool32,15.0,4,0.4454606084124187,0.31607435025517294,0.7046834893461038
down,2,bounded_beam_w16_pool32,16.0,4,0.46112560007501985,0.3293780450479476,0.7138098065351705
down,2,bounded_beam_w64_pool32,1.0,4,0.05352582765127828,0.03763931815185663,0.3209475126478284
down,2,bounded_beam_w64_pool32,2.0,4,0.10201056869854008,0.07083983984782803,0.457369349395788
down,2,bounded_beam_w64_pool32,3.0,4,0.14245142320849985,0.09969938052264138,0.49224345151244164
down,2,bounded_beam_w64_pool32,4.0,4,0.17690920052010128,0.12542138888716012,0.5196805881217917
down,2,bounded_beam_w64_pool32,5.0,4,0.21089864966253702,0.1482543186920101,0.5451615851092213
down,2,bounded_beam_w64_pool32,6.0,4,0.24231182864870626,0.1683419124237671,0.5679663307525911
down,2,bounded_beam_w64_pool32,7.0,4,0.2721245228698402,0.1878543648806942,0.5890476679996249
down,2,bounded_beam_w64_pool32,8.0,4,0.2989841255084774,0.20589511040874495,0.6086566271843916
down,2,bounded_beam_w64_pool32,9.0,4,0.3253941062115893,0.22336844078837825,0.6269810989739796
down,2,bounded_beam_w64_pool32,10.0,4,0.35100886481693094,0.2401300243756744,0.6444988702568915
down,2,bounded_beam_w64_pool32,11.0,4,0.37169964592235816,0.25622757741783797,0.6588966451750525
down,2,bounded_beam_w64_pool32,12.0,4,0.3916699719619729,0.27202462930895516,0.6712673401905564
down,2,bounded_beam_w64_pool32,13.0,4,0.410730281375788,0.28726505943462843,0.6835263395090958
down,2,bounded_beam_w64_pool32,14.0,4,0.4294667813602506,0.30197220590345464,0.6946958571444534
down,2,bounded_beam_w64_pool32,15.0,4,0.4454606110441455,0.31607435193689315,0.7046834906258561
down,2,bounded_beam_w64_pool32,16.0,4,0.4611256016671949,0.32937804605680515,0.7138098076974059
down,3,bounded_beam_w16_pool32,1.0,4,0.062258702532230425,0.04093174320078643,0.3070288017102602
down,3,bounded_beam_w16_pool32,2.0,4,0.11414952200455258,0.0715831782343413,0.4306452787576157
down,3,bounded_beam_w16_pool32,3.0,4,0.16099788105765434,0.10141071566205376,0.4681791888013272
down,3,bounded_beam_w16_pool32,4.0,4,0.20366679040059604,0.12727395463035118,0.5012664123934603
down,3,bounded_beam_w16_pool32,5.0,4,0.23642823613016184,0.15062204484462044,0.523589353984442
down,3,bounded_beam_w16_pool32,6.0,4,0.2669407404983254,0.17146426465897327,0.5453534163405784
down,3,bounded_beam_w16_pool32,7.0,4,0.2898424631794881,0.1905237111573648,0.564035690349628
down,3,bounded_beam_w16_pool32,8.0,4,0.31139894959267395,0.20907442256604133,0.5793216307289667
down,3,bounded_beam_w16_pool32,9.0,4,0.33242137366667923,0.22577337021914595,0.5933309777673832
down,3,bounded_beam_w16_pool32,10.0,4,0.35321062143084997,0.24240998975110462,0.6071226626165704
down,3,bounded_beam_w16_pool32,11.0,4,0.3722172709091389,0.25766901619788485,0.6210504975783037
down,3,bounded_beam_w16_pool32,12.0,4,0.3896190457498838,0.2725567234115534,0.6337809247212612
down,3,bounded_beam_w16_pool32,13.0,4,0.4056083462363186,0.2865194686154226,0.6456121044872807
down,3,bounded_beam_w16_pool32,14.0,4,0.42046013474995125,0.30007054465313404,0.6562129921948033
down,3,bounded_beam_w16_pool32,15.0,4,0.4342605318466515,0.31249819601232587,0.6661174348407132
down,3,bounded_beam_w16_pool32,16.0,4,0.44786627629466536,0.3246117527386433,0.6759754349837502
down,3,bounded_beam_w64_pool32,1.0,4,0.062258702532230425,0.04093174320078643,0.3070288017102602
down,3,bounded_beam_w64_pool32,2.0,4,0.11414952200455258,0.0715831782343413,0.4306452787576157
down,3,bounded_beam_w64_pool32,3.0,4,0.16099788105765434,0.10141071566205376,0.4681791888013272
down,3,bounded_beam_w64_pool32,4.0,4,0.20366679040059604,0.12727395463035118,0.5012664123934603
down,3,bounded_beam_w64_pool32,5.0,4,0.2364282368468349,0.15062204484462044,0.5235893544144458
down,3,bounded_beam_w64_pool32,6.0,4,0.26694074080327945,0.17146426566006925,0.545353416523551
down,3,bounded_beam_w64_pool32,7.0,4,0.2898424638968446,0.19052371293596498,0.5640356907800419
down,3,bounded_beam_w64_pool32,8.0,4,0.3113989497869391,0.20907442467356782,0.5793216305366092
down,3,bounded_beam_w64_pool32,9.0,4,0.3324213752799942,0.22577337256582478,0.5933309781208431
down,3,bounded_beam_w64_pool32,10.0,4,0.35321062376332757,0.2424099927809295,0.6071226631762539
down,3,bounded_beam_w64_pool32,11.0,4,0.37221727219085843,0.25766901844883927,0.6210504974592115
down,3,bounded_beam_w64_pool32,12.0,4,0.389619047998544,0.272556729094167,0.633780925528951
down,3,bounded_beam_w64_pool32,13.0,4,0.40560834800444606,0.2865194738853743,0.6456121051786272
